"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"736
PHILOS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","211
001 306","14","3.250","35.7","21.4","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","211
001 304","19","3.605","47.4","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001 302","14","2.929","28.6","14.3","7.1","42.9",".",".","7.1",".",".",".",".",".",".",".",".","."
"","211
001 301","16","3.375","31.3","37.5","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","211
001 303","17","3.281","17.6","47.1","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".","5.9","."
"","Section Total","80","3.310","32.5","31.3","11.3","17.5","5.0",".","1.3",".",".",".",".",".",".",".","1.3","."
"","211
002 310","13","2.346","15.4","7.7","15.4","15.4","30.8",".","15.4",".",".",".",".",".",".",".",".","."
"","211
002 311","20","2.667","15.0","10.0","20.0","10.0","15.0","15.0","5.0","10.0",".",".",".",".",".",".",".","."
"","211
002 313","21","2.725","14.3","19.0","23.8","14.3","4.8","9.5","9.5","4.8",".",".",".",".",".",".",".","."
"","211
002 314","14","2.964","35.7",".","35.7","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"","Section Total","68","2.685","19.1","10.3","23.5","11.8","13.2","8.8","8.8","4.4",".",".",".",".",".",".",".","."
"","211
003 319","18","3.618","50.0","33.3",".","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","211
003 316","16","3.000","25.0","31.3","6.3","18.8",".","12.5","6.3",".",".",".",".",".",".",".",".","."
"","211
003 318","14","3.571","50.0","28.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","211
003 317","14","3.269","50.0","14.3","7.1","7.1","7.1",".","7.1","7.1",".",".",".",".",".",".",".","."
"","Section Total","62","3.367","43.5","27.4","6.5","8.1","4.8","3.2","3.2","3.2",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","210","3.127","31.4","23.3","13.8","12.9","7.6","3.8","4.3","2.4",".",".",".",".",".",".","0.5","."
"","241
001 301","18","3.353",".","66.7","27.8",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","241
001 302","19","3.313","15.8","31.6","31.6",".","5.3",".",".",".",".",".","10.5",".",".",".","5.3","."
"","241
001 303","18","3.139","5.6","27.8","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","241
001 304","19","3.342","21.1","31.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","74","3.286","10.8","39.2","39.2","4.1","1.4",".",".","1.4",".",".","2.7",".",".",".","1.4","."
"","241
002 312","16","2.969","12.5","18.8","56.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","241
002 313","12","3.042","8.3","16.7","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","241
002 311","14","3.107","21.4","7.1","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","241
002 314","15","3.067","6.7","20.0","60.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","57","3.044","12.3","15.8","54.4","10.5","5.3",".","1.8",".",".",".",".",".",".",".",".","."
"","241
003 320","14","3.692","64.3","14.3","7.1",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"","241
003 323","15","3.333","20.0","46.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","241
003 321","22","3.477","31.8","36.4","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","241
003 322","14","3.214","28.6","14.3","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","65","3.430","35.4","29.2","23.1","6.2","3.1","1.5",".","1.5",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","196","3.262","19.4","29.1","38.3","6.6","3.1","0.5","0.5","1.0",".",".","1.0",".",".",".","0.5","."
"","253
001 303","18","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001 304","18","3.441","38.9","33.3","5.6","5.6","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"","253
001 305","17","3.563","52.9","17.6","11.8","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"","253
001 302","16","3.538","37.5","12.5","31.3",".",".",".",".","6.3",".",".",".",".","6.3","6.3",".","."
"Philosophy of the Arts","Course Total","69","3.531","40.6","29.0","15.9","2.9","4.3",".",".","1.4",".",".",".",".","4.3","1.4",".","."
"","258
001 302","18","2.972","5.6","27.8","50.0","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
