"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"820
PSYCH","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"","695
060","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","37","3.941","89.2","5.4","5.4",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","697
012","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","697
015","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","697
017","","29","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","697
023","","26","3.923","92.3",".","7.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","697
028","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","697
057","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","697
058","","2","4.000","50.0",".",".",".",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"Problems in Human Behavior","Course Total","","64","3.959","93.8","1.6","3.1",".",".","",".","",".",".",".",".",".",".","1.6",".",".","."
"","699
040","","6","3.893","66.7","16.7",".",".",".","",".","",".",".",".",".",".",".","16.7",".",".","."
"","699
053","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
058","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.929","77.8","11.1",".",".",".","",".","",".",".",".",".",".",".","11.1",".",".","."
"Prosmr-Experimental Psych","701
001","","12","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prosmr in Social Psychology","703
001","","10","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Proseminar-Clinical Psych","704
001","","15","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prosmr-Developmental Psych","706
001","","9","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Proseminar-Biological Psych","707
001","","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","711
002","","9","3.750","66.7","11.1","22.2",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","711
003","","14","3.786","64.3","28.6","7.1",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","711
004","","10","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","711
005","","13","3.818","76.9","15.4","7.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Current Topics in Psych","Course Total","","46","3.824","76.1","15.2","8.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Psychology of Women","732
001","","10","3.850","70.0","30.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","733
001","","9","3.938","77.8","11.1",".",".",".","",".","",".",".",".",".",".",".","11.1",".",".","."
"","733
002","","14","3.591","50.0","7.1","14.3",".","7.1","",".","",".",".",".",".",".",".","14.3","7.1",".","."
"","733
003","","15","3.750","53.3","33.3","6.7",".",".","",".","",".",".",".",".",".",".","6.7",".",".","."
"Perceptual&Cognitive Sciences","Course Total","","38","3.742","57.9","18.4","7.9",".","2.6","",".","",".",".",".",".",".",".","10.5","2.6",".","."
"Clin II:Assmnt, Etiol&Trtmt","741
001","","11","3.727","72.7","18.2",".",".","9.1","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Reading","799
065","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Psychophysiology","804
001","","9","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Field Work-Clinical Psych","805
001 301","","13","3.921","84.6","15.4",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Princ-Psychotherapy Rsch","806
001","","12","4.000","66.7",".",".",".",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"Topics-Organization Design","854
001","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Psychometric Methods","910
001","","9","3.452","33.3","33.3","33.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Mathematical Psychology","916
001","","7","4.000","85.7",".",".",".",".","",".","",".",".",".",".",".",".","14.3",".",".","."
"Interdis Smr-Animal Behav","950
001","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
002","","3","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
003","","5","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
004","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
006","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
011","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
014","","3","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
016","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 323 of 441",""
