"VET","","","","","","","","","","","","","","","","","","","",""
"ANIMAL HEALTH & BIOMEDICAL Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","N","NR","Other"
"952
AHABS","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Research
Course Total","52","",".",".",".",".",".",".","",".","69.2",".",".",".","30.8","",".",".",".","."
"952
AHABS
Dept. Total","151","3.391","30.5","15.2","11.3","0.7","4.0","1.3","",".","23.8","0.7",".",".","12.6","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","26","3.635","50.0","34.6","11.5",".",".","3.8","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","13","3.731","53.8","30.8","7.7",".",".",".","",".",".","7.7",".",".",".","",".",".",".","."
"Junior","7","3.031","42.9","14.3","14.3",".","28.6",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","17","3.275","41.2","11.8","23.5","5.9","11.8","5.9","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","63","3.382","47.6","25.4","14.3","1.6","6.3","3.2","",".",".","1.6",".",".",".","",".",".",".","."
"Special","5","2.615","20.0",".","40.0",".","40.0",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","82","3.553","17.1","8.5","7.3",".",".",".","",".","43.9",".",".",".","23.2","",".",".",".","."
"Prof Yr 1","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Dept. Total","151","3.391","30.5","15.2","11.3","0.7","4.0","1.3","",".","23.8","0.7",".",".","12.6","",".",".",".","."
