"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"239
REAL EST","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","306
001 308","48","3.115","22.9","10.4","45.8","8.3","10.4","2.1","",".",".",".",".",".",".",".",".",".","."
"","306
001 305","36","3.286","27.8","22.2","27.8","16.7","2.8",".","",".","2.8",".",".",".",".",".",".",".","."
"","306
001 302","29","3.276","31.0","24.1","17.2","24.1","3.4",".","",".",".",".",".",".",".",".",".",".","."
"","306
001 301","34","3.242","26.5","29.4","14.7","17.6","8.8",".","",".","2.9",".",".",".",".",".",".",".","."
"","306
001 303","22","3.205","31.8","13.6","22.7","27.3",".","4.5","",".",".",".",".",".",".",".",".",".","."
"","306
001 307","21","3.286","38.1","19.0","14.3","19.0","9.5",".","",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","190","3.223","28.4","19.5","26.3","17.4","6.3","1.1","",".","1.1",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","49","3.313","24.5","24.5","38.8","8.2",".","2.0","",".","2.0",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399
091","11","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","410
001","36","3.375","38.9","22.2","16.7","19.4",".","2.8","",".",".",".",".",".",".",".",".",".","."
"","410
002","40","3.446","42.5","20.0","12.5","12.5","2.5","2.5","",".","7.5",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","76","3.411","40.8","21.1","14.5","15.8","1.3","2.6","",".","3.9",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","39","3.434","48.7","7.7","28.2","5.1","7.7",".","",".",".",".",".",".",".","2.6",".",".","."
"Urban & Regional Economics","420
001","82","3.407","30.5","29.3","30.5","7.3","1.2",".","",".","1.2",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","17","3.882","76.5","23.5",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001 302","4","3.500","25.0","50.0","25.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","39","3.782","76.9","7.7","10.3","5.1",".",".","",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","4","3.750","75.0",".","25.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","29","3.707","58.6","31.0","6.9",".","3.4",".","",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001 301","18","3.444","22.2","44.4","33.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","765
001","12","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","765
030","38","3.671","60.5","18.4","15.8","5.3",".",".","",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","50","3.777","70.0","14.0","12.0","4.0",".",".","",".",".",".",".",".",".",".",".",".","."
"","799
083","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","799
091","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","799
097","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","799
116","2","4.000","50.0",".",".",".",".",".","",".",".",".",".",".",".","50.0",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","5","4.000","20.0",".",".",".",".",".","",".",".",".",".",".",".","80.0",".",".","."
"Smr-Urban Land Econ PhD","978
001","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
083","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"239
REAL EST","Dept. Total","618","3.431","42.1","20.2","22.0","9.9","2.9","0.8","",".","1.1",".",".",".","0.2","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"Junior","","129","3.274","37.2","14.7","26.4","16.3","4.7","0.8","",".",".",".",".",".",".",".",".",".","."
"Senior","","329","3.366","34.3","23.4","24.9","10.9","3.3","1.2","",".","1.5",".",".",".",".","0.3",".",".","."
"Undergraduates","","458","3.340","35.2","21.0","25.3","12.4","3.7","1.1","",".","1.1",".",".",".",".","0.2",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","156","3.715","60.9","18.6","12.8","2.6","0.6",".","",".","1.3",".",".",".","0.6","2.6",".",".","."
"Prof Yr 3","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","618","3.431","42.1","20.2","22.0","9.9","2.9","0.8","",".","1.1",".",".",".","0.2","0.8",".",".","."
