"EDU","","","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","N","NR","Other"
"310
ED POL","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"999
009","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"999
022","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"999
066","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Independent Reading
Course Total","7","3.813","42.9","14.3",".",".",".","",".","",".","42.9","",".",".","",".",".",".",".",".","."
"310
ED POL
Dept. Total","389","3.671","41.9","31.9","8.7","1.0","0.8","",".","",".","4.4","",".","3.9","",".","2.8","4.4",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","24","3.667","58.3","20.8","16.7","4.2",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","32","3.609","34.4","59.4","3.1",".","3.1","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","113","3.622","38.9","46.0","11.5","1.8",".","",".","",".",".","",".",".","",".",".","1.8",".",".","."
"Senior","82","3.623","43.9","34.1","14.6","1.2","1.2","",".","",".",".","",".",".","",".",".","4.9",".",".","."
"Undergraduates","251","3.625","41.8","41.4","12.0","1.6","0.8","",".","",".",".","",".",".","",".",".","2.4",".",".","."
"Special","8","3.667","37.5","25.0","12.5",".",".","",".","",".","12.5","",".",".","",".",".","12.5",".",".","."
"Graduate","130","3.822","42.3","13.8","2.3",".","0.8","",".","",".","12.3","",".","11.5","",".","8.5","7.7",".",".","."
"Dept. Total","389","3.671","41.9","31.9","8.7","1.0","0.8","",".","",".","4.4","",".","3.9","",".","2.8","4.4",".",".","."
