"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"448
HISTORY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","219
001 304","10","3.333","10.0","40.0","40.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"The American Jewish Experience","Course Total","77","3.346","19.5","33.8","26.0","6.5","1.3","1.3",".","10.4",".",".",".",".",".",".","1.3","."
"","220
001 305","10","3.100","20.0","20.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","220
001 301","4","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001 303","11","3.045",".","27.3","63.6",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","220
001 302","3","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001 304","7","2.857",".","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","220
001 306","8","3.125","12.5","12.5","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001 307","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001 309","4","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001 308","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Jewish Hist","Course Total","59","3.136","11.9","27.1","42.4","13.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221
001","37","3.406","21.6","29.7","32.4","2.7",".",".",".","5.4",".",".",".",".","8.1",".",".","."
"","222
001","23","3.065","8.7","47.8","26.1",".","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","222
002","11","3.222","18.2","18.2","36.4",".","9.1",".",".","9.1",".",".",".",".","9.1",".",".","."
"Explorations in Amer Hist (S)","Course Total","34","3.109","11.8","38.2","29.4",".","8.8","2.9","2.9","2.9",".",".",".",".","2.9",".",".","."
"Exploration-European Hist (H)","223
001","23","3.310","13.0","39.1","30.4","8.7",".",".",".","4.3",".",".",".",".",".","4.3",".","."
"Exploration-3rd World Hist (S)","226
001","21","3.225","23.8","28.6","19.0","14.3","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","241
001 301","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","241
001 302","14","3.393","42.9","42.9",".","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Colonial Latin America","Course Total","26","3.385","34.6","38.5","15.4","7.7",".",".","3.8",".",".",".",".",".",".",".",".","."
"","244
001 301","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 304","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 246 of 441",""
