"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"320
E C E","","Grades","GPA","","","","","","","","","","","","","","","",""
"Communication Systems Lab I","438
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"E&M Fields and Waves","440
001","7","3.429","28.6","57.1",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447
001","19","3.132","15.8","26.3","36.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Digital Microprocessors","453
001 301","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","462
001 302","8","3.000","25.0",".","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","462
001 301","9","3.278","11.1","33.3","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","Course Total","17","3.147","17.6","17.6","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","463
001 302","10","3.050","20.0","40.0",".","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","463
001 301","14","3.357","35.7","28.6","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","Course Total","24","3.229","29.2","33.3","8.3","12.5","16.7",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468
001 301","33","3.712","57.6","27.3","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489
060","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489
066","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","Course Total","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
018","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
070","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Design Project","Course Total","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"Power Electronics Lab","512
001 301","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","533
001","42","3.238","21.4","38.1","23.8","9.5","2.4","2.4","2.4",".",".",".",".",".",".",".",".","."
"","533
001 301","4","2.833",".","25.0","25.0",".",".","25.0",".","25.0",".",".",".",".",".",".",".","."
"Image Processing","Course Total","46","3.211","19.6","37.0","23.9","8.7","2.2","4.3","2.2","2.2",".",".",".",".",".",".",".","."
"Integrated Optics&Optoelect","536
001","25","3.500","64.0","4.0","16.0",".","16.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539
002","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Integrated Circuit Design","548
001","26","3.558","50.0","26.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551
001","71","3.143","28.2","25.4","16.9","14.1","11.3",".","2.8",".",".",".",".",".","1.4",".",".","."
"","552
001","34","3.206","23.5","35.3","20.6","11.8","5.9",".","2.9",".",".",".",".",".",".",".",".","."
"","552
002","36","3.357","36.1","16.7","25.0","19.4",".",".",".",".",".",".",".",".","2.8",".",".","."
"Intro-Computer Architecture","Course Total","70","3.283","30.0","25.7","22.9","15.7","2.9",".","1.4",".",".",".",".",".","1.4",".",".","."
"Testing Desgn - Digital Sys","553
001","63","3.151","19.0","20.6","39.7","12.7","7.9",".",".",".",".",".",".",".",".",".",".","."
"","554
001 301","15","3.500","33.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","554
001 302","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","Course Total","33","3.606","42.4","39.4","15.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556
001","19","3.737","57.9","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Electrical & Comp Engr","600
001","141","",".",".",".",".",".",".",".",".",".","92.2","2.8",".",".",".",".","."
"Topics-Elec&Computer Engr","601
001","48","3.319","20.8","45.8","12.5","12.5","6.3",".",".","2.1",".",".",".",".",".",".",".","."
"","699
004","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","699
006","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
011","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
014","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","1","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","699
029","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
035","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 117 of 441",""
