"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"900
SOC","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Economic Sociology I","651
001","","15","3.577","20.0","60.0","6.7",".",".","",".","",".",".",".",".",".",".","13.3",".",".","."
"Population and Society","663
001","","23","3.717","52.2","39.1","8.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"App Demogrphy-Amer Demgrphy","676
001","","6","3.333","66.7",".",".",".","16.7","","16.7","",".",".",".",".",".",".",".",".",".","."
"Urbanism and Urbanization","677
001","","26","2.540","3.8","11.5","26.9","15.4","26.9","","7.7","","3.8",".",".",".",".",".",".",".","3.8","."
"","681
015","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
035","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
084","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","","3","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","691
016","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","691
041","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","4.000","50.0",".",".",".",".","",".","",".",".",".",".",".","50.0",".",".",".","."
"","698
015","","2","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","698
046","","3","",".",".",".",".",".","",".","",".",".",".","66.7",".",".",".",".",".","."
"Directed Study","Course Total","","5","",".",".",".",".",".","",".","",".",".",".","80.0",".",".",".",".",".","."
"","699
004","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
009","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
016","","19","4.000","73.7",".",".",".",".","",".","",".",".",".",".",".",".","26.3",".",".","."
"","699
035","","1","2.000",".",".",".",".","100.0","",".","",".",".",".",".",".",".",".",".",".","."
"","699
041","","4","3.667","25.0","25.0",".",".",".","",".","",".",".",".",".",".",".","25.0","25.0",".","."
"","699
046","","2","4.000","50.0",".",".",".",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"","699
061","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
084","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
090","","17","4.000","82.4",".",".",".",".","",".","",".",".",".",".",".",".","17.6",".",".","."
"Directed Study","Course Total","","50","3.956","72.0","2.0","2.0",".","2.0","",".","",".",".",".",".",".",".","20.0","2.0",".","."
"Intro Prosmr-Grad Students","700
001","","30","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Intmed Soc Psych-Indiv&Scty","730
001","","13","3.385","30.8","23.1","38.5","7.7",".","",".","",".",".",".",".",".",".",".",".",".","."
"Environmental Sociology","748
001","","4","3.875","75.0","25.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Survey Methods-Social Rsch","751
001","","18","3.688","33.3","55.6",".",".",".","",".","",".","5.6",".",".",".",".","5.6",".",".","."
"Intermediate Classical Theory","773
001","","27","3.685","44.4","48.1","7.4",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","875
001","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","875
002","","7","3.833","57.1","28.6",".",".",".","",".","",".",".",".",".",".",".","14.3",".",".","."
