"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"512
JOURN","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","201
001 325","16","3.219","18.8","37.5","25.0","6.3","12.5",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 327","17","3.594","35.3","41.2","17.6",".",".",".","",".",".",".",".",".",".","5.9",".",".","."
"","201
001 328","13","3.231","23.1","7.7","61.5","7.7",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 305","15","3.600","40.0","40.0","20.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 323","11","3.500","36.4","36.4","9.1",".","9.1",".","",".",".",".",".",".",".",".","9.1",".","."
"","201
001 303","13","3.308","23.1","15.4","61.5",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 324","16","3.438","25.0","37.5","37.5",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 302","15","3.400","40.0","6.7","46.7","6.7",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 301","16","3.688","62.5","12.5","25.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 304","17","3.559","41.2","29.4","29.4",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 306","16","3.500","37.5","31.3","25.0","6.3",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 307","16","3.531","37.5","37.5","18.8","6.3",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 308","14","3.679","57.1","21.4","21.4",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 309","15","3.700","53.3","33.3","13.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 310","17","3.471","29.4","41.2","23.5","5.9",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 326","14","3.464","35.7","35.7","21.4",".","7.1",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 311","16","3.531","50.0","18.8","25.0",".",".","6.3","",".",".",".",".",".",".",".",".",".","."
"","201
001 322","15","3.600","40.0","40.0","20.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 312","15","3.567","40.0","33.3","26.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 318","16","3.750","50.0","50.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 314","14","3.679","50.0","35.7","14.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 315","16","3.563","43.8","37.5","12.5",".","6.3",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 316","16","3.571","43.8","12.5","31.3",".",".",".","",".",".",".",".",".",".","12.5",".",".","."
"","201
001 317","14","3.607","50.0","21.4","28.6",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 321","16","3.719","56.3","31.3","12.5",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 313","14","3.286","21.4","28.6","42.9",".","7.1",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 320","15","3.600","46.7","26.7","26.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
001 319","14","3.429","28.6","28.6","42.9",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","Course Total","422","3.531","40.0","29.9","26.1","1.4","1.4","0.2","",".",".",".",".",".",".","0.7","0.2",".","."
"","202
001 307","13","3.385","7.7","61.5","30.8",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","202
001 306","14","3.536","35.7","35.7","28.6",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","202
001 301","15","3.433","13.3","66.7","13.3","6.7",".",".","",".",".",".",".",".",".",".",".",".","."
"","202
001 304","14","3.321",".","64.3","35.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","202
001 303","15","3.367","20.0","33.3","46.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","202
001 302","14","3.429","21.4","42.9","35.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","202
001 305","15","3.400","20.0","40.0","40.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","Course Total","100","3.410","17.0","49.0","33.0","1.0",".",".","",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","2","3.250",".","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","335
001","15","3.536","20.0","66.7",".","6.7",".",".","",".",".",".",".",".",".","6.7",".",".","."
"","335
002","14","3.536","7.1","92.9",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","335
003","15","3.700","60.0","20.0","20.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","44","3.593","29.5","59.1","6.8","2.3",".",".","",".",".",".",".",".",".","2.3",".",".","."
"","345
001","39","3.526","35.9","33.3","30.8",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","345
002","30","3.633","63.3","6.7","23.3","6.7",".",".","",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","69","3.572","47.8","21.7","27.5","2.9",".",".","",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","16","3.594","37.5","43.8","18.8",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405
001","18","3.444","27.8","38.9","27.8","5.6",".",".","",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","12","3.708","41.7","58.3",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 266 of 441",""
