"Fall 2002-2003","","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"HISTORY OF SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","N","NR","Other"
"456
HIST SCI","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Fr Hon Sm:Hist Sci,Tech,Med","180","001","","8","3.813","62.5","37.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201","001 303","","20","2.775","15.0","10.0","35.0","15.0","10.0","10.0","5.0",".","",".",".","",".","",".",".",".",".","."
"","201","001 304","","20","2.684","30.0","5.0","15.0","5.0","15.0","15.0","10.0",".","",".",".","",".","",".",".",".",".","5.0"
"","201","001 302","","16","2.781","25.0","6.3","25.0","12.5","12.5","12.5","6.3",".","",".",".","",".","",".",".",".",".","."
"","201","001 301","","20","2.583","10.0","10.0","35.0","5.0","20.0",".","10.0",".","",".",".","",".","",".","10.0",".",".","."
"Origins-Scientific Thought","","Course Total","","76","2.705","19.7","7.9","27.6","9.2","14.5","9.2","7.9",".","",".",".","",".","",".","2.6",".",".","1.3"
"","203","001 304","","20","2.975","10.0","30.0","30.0","25.0",".",".","5.0",".","",".",".","",".","",".",".",".",".","."
"","203","001 303","","19","3.063",".","21.1","52.6","10.5",".",".",".",".","",".",".","",".","",".",".",".",".","15.8"
"","203","001 302","","21","3.175","19.0","19.0","33.3","23.8",".",".",".",".","",".",".","",".","",".",".",".",".","4.8"
"","203","001 301","","23","3.095",".","39.1","34.8","13.0","4.3",".",".","4.3","",".",".","",".","",".",".","4.3",".","."
"Sci in 20th C:Hist Overview","","Course Total","","83","3.078","7.2","27.7","37.3","18.1","1.2",".","1.2","1.2","",".",".","",".","",".",".","1.2",".","4.8"
"Technol&Social Chng in Hist","222","001","","57","3.510","24.6","47.4","12.3","5.3",".",".",".","10.5","",".",".","",".","",".",".",".",".","."
"Ag&Soc Change-Western Hist","230","001","","13","3.000","7.7","30.8","23.1","30.8","7.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","","14","3.545","28.6","28.6","21.4",".",".",".",".","14.3","",".",".","",".","",".",".","7.1",".","."
"History of Technology","337","001","","29","3.604","34.5","34.5","10.3","3.4",".",".",".","17.2","",".",".","",".","",".",".",".",".","."
"History of Ecology","353","001","","11","3.500","54.5","9.1","27.3",".",".","9.1",".",".","",".",".","",".","",".",".",".",".","."
"History of Mathematics","473","001","","4","",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","100.0","."
"Health, Disease & Healing I","507","001  601","","13","3.153","23.1","38.5","15.4",".",".",".","7.7",".","",".",".","",".","",".","15.4",".",".","."
"Dev Public Health-America","509","001","","11","3.500","27.3","45.5","27.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"History of Social Sciences","536","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","","12","3.318","33.3","8.3","41.7",".","8.3",".",".","8.3","",".",".","",".","",".",".",".",".","."
"Clin Medicine Since 1750","575","001","","13","3.292","23.1","23.1","30.8","15.4",".",".",".",".","",".",".","",".","",".","7.7",".",".","."
"Studies in Early Modern Sci","623","001","","5","3.625","40.0","20.0","20.0",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"Studies-Hist of Technology","637","001","","3","4.000","66.7",".",".",".",".",".",".",".","",".",".","",".","",".","33.3",".",".","."
"","681","004","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","681","014","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","699","003","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","021","","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".","100.0",".",".","."
"Directed Study","","Course Total","","2","3.500",".","50.0",".",".",".",".",".",".","",".",".","",".","",".","50.0",".",".","."
"Historiography & Methods","720","001","","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Smr:Modern Physical Science","905","001","","5","3.667","20.0","40.0",".",".",".",".",".",".","",".",".","",".","",".","40.0",".",".","."
"Social Aspects-Dev of Sci","913","001","","4","4.000","75.0",".",".",".",".",".",".",".","",".",".","",".","",".","25.0",".",".","."
"Seminar: Science in America","915","001","","6","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".","",".",".",".",".","."
"Grad Studies-Medical Hist","919","001","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Seminar-Special Topics","921","001","","7","4.000","85.7",".",".",".",".",".",".",".","",".",".","",".","",".","14.3",".",".","."
"History of Science Colloq","950","001","","7","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"","990","003","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","015","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","018","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","021","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Research and Thesis","","Course Total","","6","",".",".",".",".",".",".",".","83.3","",".",".","",".","16.7","",".",".",".","."
"","999","007","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","999","021","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Work","","Course Total","","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".","50.0","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 254 of 441",""
