"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","P","I","N","NR","Other"
"270
COUN PSY","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"","105
001","14","3.964","92.9","7.1",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","105
002","15","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","105
004","13","3.500","30.8","38.5","30.8",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","42","3.833","76.2","14.3","9.5",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","110
001","12","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
001","22","3.818","95.5",".",".",".","",".","",".","4.5",".",".",".",".",".",".",".",".","."
"","115
003","16","3.813","87.5",".",".","12.5","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
012","16","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
013","7","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
014","15","3.900","80.0","20.0",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
015","15","4.000","93.3",".",".",".","",".","",".",".",".",".",".",".",".",".","6.7",".","."
"","115
024","6","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
025","6","3.833","83.3",".","16.7",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
027","4","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
028","8","3.813","75.0","12.5","12.5",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
029","8","3.833","50.0","25.0",".",".","",".","",".",".",".",".",".",".",".",".","25.0",".","."
"","115
030","6","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","115
031","8","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","137","3.910","89.8","4.4","1.5","1.5","",".","",".","0.7",".",".",".",".",".",".","2.2",".","."
"Spec Topics-Cnslg & Guidnce","620
001","2","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","650
001 311","25","3.729","44.0","52.0",".",".","",".","",".",".",".",".",".",".",".",".",".","4.0","."
"","650
001 314","24","3.522","41.7","41.7","8.3",".","",".","",".","4.2",".",".",".",".",".","4.2",".",".","."
"","650
001 313","23","3.435","34.8","47.8","8.7","4.3","",".","",".","4.3",".",".",".",".",".",".",".",".","."
"","650
001 334","7","3.500","42.9","14.3","42.9",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","650
001 331","22","3.568","22.7","68.2","9.1",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","650
001 312","24","3.333","29.2","45.8","8.3","12.5","",".","",".","4.2",".",".",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","Course Total","125","3.516","35.2","48.8","8.8","3.2","",".","",".","2.4",".",".",".",".",".","0.8",".","0.8","."
"","699
005","2","4.000","50.0",".",".",".","",".","",".",".",".",".",".",".",".","50.0",".",".","."
"","699
027","1","",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","100.0","."
"Independent Reading","Course Total","3","4.000","33.3",".",".",".","",".","",".",".",".",".",".",".",".","33.3",".","33.3","."
"Theories of Counseling","800
001","21","3.917","71.4","14.3",".",".","",".","",".",".","4.8",".",".",".",".","9.5",".",".","."
"Assess Tech for Counselors","801
001","15","3.900","80.0","20.0",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","19","3.816","73.7","15.8","10.5",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","807
001 301","11","4.000","90.9",".",".",".","",".","",".",".",".",".",".",".",".","9.1",".",".","."
"","807
002 302","12","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","23","4.000","95.7",".",".",".","",".","",".",".",".",".",".",".",".","4.3",".",".","."
"Csnlg Psych Tech-Families","825
001","28","4.000","71.4",".",".",".","",".","",".",".",".",".",".",".",".","28.6",".",".","."
"Consultation Proc-Counselor","850
001","6","4.000","83.3",".",".",".","",".","",".",".",".",".",".",".",".","16.7",".",".","."
"Multicultural Counseling","860
001","20","3.921","80.0","15.0",".",".","",".","",".",".",".",".",".",".",".",".",".","5.0","."
"","900
001 301","4","",".",".",".",".","",".","",".",".",".",".","75.0",".",".",".",".",".","."
"","900
002 302","8","",".",".",".",".","",".","",".",".",".",".","75.0",".",".",".",".",".","."
"","900
003 303","4","",".",".",".",".","",".","",".",".",".",".","100.0",".",".",".",".",".","."
"","900
004 304","2","",".",".",".",".","",".","",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","18","",".",".",".",".","",".","",".",".",".",".","83.3",".",".",".",".",".","."
"Couns Psych Practicum","901
001","1","",".",".",".",".","",".","",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Counseling Psychology","925
001","5","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
