"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"742
KINES","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","116
001","","23","3.909","78.3","17.4",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","116
002","","24","3.587","41.7","33.3","16.7","4.2",".",".",".",".",".",".",".",".",".","4.2",".","."
"","116
003","","22","3.475","31.8","50.0","4.5",".",".",".","4.5","9.1",".",".",".",".",".",".",".","."
"First Aid","Course Total","","69","3.662","50.7","33.3","7.2","1.4",".",".","1.4","4.3",".",".",".",".",".","1.4",".","."
"Foundations of Physical Educ","121
001 301","","27","3.463","40.7","18.5","33.3","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126
001","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","5","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"","300
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","29","3.985","93.1","3.4",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Adv Tech-Athletic Training","301
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001 301","","14","3.286","21.4","42.9","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","314
001 303","","15","3.233","6.7","33.3","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001 302","","15","3.143","20.0","13.3","40.0","13.3","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Physiology of Exercise","Course Total","","44","3.221","15.9","29.5","40.9","4.5","6.8",".",".",".",".",".",".",".","2.3",".",".","."
"","315
001 303","","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001 301","","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001 302","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","Course Total","","42","3.524","35.7","33.3","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
001 304","","8","3.250","25.0","37.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","316
001 302","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
001 303","","5","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
001 301","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","Course Total","","25","3.420","28.0","40.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","318
001 303","","13","3.538","61.5","15.4","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","318
001 301","","14","3.393","28.6","42.9","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","318
001 302","","11","3.273","45.5","9.1","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","Course Total","","38","3.408","44.7","23.7","13.2","5.3","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321
001 301","","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","323
001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","Course Total","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Elem School Phy Ed","335
001","","5","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","51","3.302","23.5","31.4","21.6","13.7","3.9",".",".","2.0",".",".",".",".",".","3.9",".","."
"Phys Agnts-Treat Athl Injry","357
001 301","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358
001 301","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001 303","","14","2.929",".","42.9","42.9",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","361
001 301","","15","3.400","26.7","46.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001 302","","14","3.357","35.7","21.4","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","Course Total","","43","3.233","20.9","37.2","25.6","9.3","4.7",".","2.3",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365
001","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","399
005","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
009","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
015","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
022","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 100 of 441",""
