"CIVIL AND ENVIRONMENTAL EN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"240
CIV ENGR","","Grades","","GPA","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","13","3.955","76.9","7.7",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","251
001 302","","19","3.474","47.4","15.8","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","251
001 301","","15","3.467","26.7","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","251
001 303","","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Spatial Measurements","Course Total","","47","3.415","31.9","31.9","23.4","12.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","","27","3.077","25.9","11.1","29.6","11.1","11.1","7.4",".",".",".",".",".",".",".","3.7",".","."
"Elec-op&Micro Remote Sensng","302
001","","29","3.086","20.7","20.7","27.6","17.2","10.3","3.4",".",".",".",".",".",".",".",".",".","."
"","303
001 301","","8","3.313","25.0","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001 302","","11","3.050","9.1","27.3","27.3","18.2","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Remote Sensng Digtl Image","Course Total","","19","3.167","15.8","21.1","42.1","10.5","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Remote Sensng Vis Image&GIS","304
001 301","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundmnt Comput-Land Inf Sys","307
001","","11","3.182","18.2","27.3","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Spatl Framewk-Land Info Sys","308
001","","22","2.909","22.7","22.7","18.2","4.5","18.2","9.1","4.5",".",".",".",".",".",".",".",".","."
"","310
001 303","","10","2.850","10.0","10.0","50.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","310
001 301","","16","2.375","6.3","6.3","12.5","31.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".","."
"","310
001 302","","17","2.618",".","5.9","35.3","35.3","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","Course Total","","43","2.581","4.7","7.0","30.2","25.6","20.9","9.3","2.3",".",".",".",".",".",".",".",".","."
"","311
001 301","","22","3.273","36.4","9.1","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"","311
001 302","","19","3.395","31.6","21.1","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hydroscience","Course Total","","41","3.329","34.1","14.6","36.6","12.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"Hydrology","315
001 301","","14","3.154","21.4","35.7","7.1","7.1","21.4",".",".","7.1",".",".",".",".",".",".",".","."
"","320
001","","13","3.154","30.8","7.7","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","320
001 301","","19","2.895","10.5","10.5","52.6",".","15.8","10.5",".",".",".",".",".",".",".",".",".","."
"","320
001 302","","44","3.151","20.5","4.5","63.6","2.3","6.8",".",".",".",".",".",".",".","2.3",".",".","."
"Environmental Engineering","Course Total","","76","3.087","19.7","6.6","55.3","5.3","9.2","2.6",".",".",".",".",".",".","1.3",".",".","."
"","330
001 302","","17","2.824","23.5","5.9","23.5","5.9","29.4","11.8",".",".",".",".",".",".",".",".",".","."
"","330
001 301","","16","2.750","6.3","12.5","31.3","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","330
001 303","","13","2.885","15.4","7.7","38.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","Course Total","","46","2.815","15.2","8.7","30.4","15.2","26.1","4.3",".",".",".",".",".",".",".",".",".","."
"","340
001 302","","23","3.261","13.0","52.2","17.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","340
001 301","","14","3.000","28.6","14.3","28.6","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Structural Analysis I","Course Total","","37","3.162","18.9","37.8","21.6","10.8","8.1",".","2.7",".",".",".",".",".",".",".",".","."
"","357
001 301","","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001 303","","3","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","Course Total","","5","3.000",".","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001 301","","22","3.159","18.2","18.2","50.0","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","370
001 302","","22","3.432","40.9","18.2","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","Course Total","","44","3.295","29.5","18.2","38.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372
001","","5","2.700","40.0",".","20.0","20.0",".",".","20.0",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403
001 301","","7","2.714","14.3","14.3",".","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Instrumentatn","406
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elements-Public Health Engr","422
001","","14","3.321","28.6","14.3","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","426
001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","427
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440
001","","20","2.900","20.0","10.0","25.0","20.0","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 110 of 441",""
