"FRENCH (FRENCH AND ITALIAN)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"400
FRENCH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
002","22","3.450","22.7","45.5","18.2",".","4.5",".",".","9.1",".",".",".",".",".",".",".","."
"","101
003","19","3.342","36.8","21.1","26.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","101
005","22","3.409","36.4","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","22","3.071","36.4","31.8","9.1",".","4.5",".","13.6","4.5",".",".",".",".",".",".",".","."
"","101
007","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","23","3.326","30.4","26.1","21.7","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","18","3.667","55.6","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
012","17","3.618","58.8","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
013","18","3.767","50.0","27.8","5.6",".",".",".",".","11.1",".",".",".",".",".",".","5.6","."
"First Semester French","Course Total","179","3.477","43.6","27.9","13.4","7.3","2.8",".","1.7","2.8",".",".",".",".",".",".","0.6","."
"","102
001","13","3.409","15.4","53.8","7.7",".","7.7",".",".","7.7",".",".",".",".",".","7.7",".","."
"","102
002","21","2.857","4.8","19.0","38.1","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","102
003","21","3.238","38.1","19.0","23.8","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","102
005","22","3.023","27.3","22.7","31.8",".","4.5","4.5","9.1",".",".",".",".",".",".",".",".","."
"","102
007","19","3.237","26.3","26.3","26.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","102
008","15","2.767","33.3","6.7","6.7","13.3","6.7","26.7","6.7",".",".",".",".",".",".",".",".","."
"","102
010","7","3.429","57.1","14.3",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","118","3.095","26.3","22.9","22.9","9.3","7.6","5.9","3.4","0.8",".",".",".",".",".","0.8",".","."
"First Sem French Honors","181
001","20","3.735","55.0","20.0","5.0","5.0",".",".",".","15.0",".",".",".",".",".",".",".","."
"","203
001","20","3.275","25.0","35.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","203
002","24","3.565","50.0","16.7","25.0",".","4.2",".",".",".",".",".",".",".",".","4.2",".","."
"","203
004","20","3.125","25.0","25.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","203
005","21","3.143","19.0","23.8","33.3","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","203
006","23","2.952","8.7","21.7","21.7","30.4","8.7",".",".",".",".",".",".",".","4.3",".","4.3","."
