"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"235
INTL BUS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","200
001 305","4","3.125",".","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001 304","7","3.071","28.6","14.3","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","200
001 303","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","200
001 302","8","3.063","25.0","12.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".","."
"","200
001 301","20","3.275","25.0","30.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","200
001 306","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001 308","5","2.900","20.0","20.0","20.0",".","40.0",".",".",".",".",".",".",".",".",".",".","."
"","200
001 309","5","2.900","20.0","20.0","20.0",".","40.0",".",".",".",".",".",".",".",".",".",".","."
"","200
001 310","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001 311","5","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001 312","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","200
001 307","4","3.375","25.0","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","68","3.221","29.4","25.0","20.6","10.3","13.2","1.5",".",".",".",".",".",".",".",".",".","."
"","200
002","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002 312","6","3.000",".","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","200
002 305","31","2.933","16.1","12.9","19.4","38.7","9.7",".",".","3.2",".",".",".",".",".",".",".","."
"","200
002 301","15","2.500",".","20.0","13.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"","200
002 310","19","3.417","10.5","63.2","15.8","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","200
002 302","27","3.111","22.2","14.8","37.0","14.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"","200
002 309","22","3.136","13.6","31.8","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"","200
002 308","16","3.067","37.5",".","12.5","25.0","6.3","12.5",".",".",".",".",".",".",".",".","6.3","."
"","200
002 307","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","200
002 306","4","3.250","50.0",".","25.0",".",".","25.0",".",".",".",".",".",".",".",".",".","."
"","200
002 311","9","3.056","33.3","11.1","44.4",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","200
002 303","21","3.024","14.3","19.0","38.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","200
002 304","28","3.196","32.1","10.7","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","201","3.068","20.4","20.4","25.4","20.9","8.5","2.0","1.0","0.5",".",".",".",".","0.5",".","0.5","."
"International Business","Course Total","269","3.107","22.7","21.6","24.2","18.2","9.7","1.9","0.7","0.4",".",".",".",".","0.4",".","0.4","."
"Intro to Business French","313
001","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
091","28","3.889","78.6","14.3","3.6",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"","399
205","116","4.000","99.1",".",".",".",".",".",".",".",".",".",".",".",".","0.9",".","."
"Reading & Research-Intl Bus","Course Total","144","3.979","95.1","2.8","0.7",".",".",".",".",".",".",".",".",".",".","1.4",".","."
"Global Issues in Management","403
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","5","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","Course Total","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
