"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"508
ITALIAN","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001","18","3.250","27.8","27.8","38.9",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","101
002","21","3.190","38.1","4.8","23.8","23.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
004","24","3.396","33.3","29.2","20.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","22","3.273","31.8","18.2","31.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","101
007","20","3.100","20.0","20.0","35.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"","101
008","22","2.886","31.8","4.5","22.7","9.1","9.1","18.2","4.5",".",".",".",".",".",".",".",".","."
"","101
010","20","3.200","15.0","35.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
011","22","3.000","45.5","9.1","18.2","9.1","4.5",".","13.6",".",".",".",".",".",".",".",".","."
"","101
012","21","3.175","23.8","23.8","38.1",".","4.8",".","4.8","4.8",".",".",".",".",".",".",".","."
"","101
014","23","3.205","13.0","26.1","47.8","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","101
015","23","2.891","17.4","8.7","34.8","30.4","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","101
017","15","2.679","20.0","13.3","13.3","6.7","26.7","6.7","6.7",".",".",".",".",".",".",".","6.7","."
"First Semester Italian","Course Total","251","3.115","26.7","18.3","29.9","11.6","6.0","3.2","3.2","0.8",".",".",".",".",".",".","0.4","."
"","102
003","14","3.036","14.3","14.3","50.0","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","102
005","22","3.119","9.1","22.7","50.0","9.1","4.5",".",".",".",".",".",".",".",".",".","4.5","."
"","102
007","21","3.667","57.1","28.6","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
009","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","21","3.476","38.1","23.8","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","14","3.286","28.6","28.6","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
013","7","2.917","42.9","14.3",".",".","14.3",".","14.3","14.3",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","117","3.370","34.2","24.8","28.2","5.1","4.3","0.9","0.9","0.9",".",".",".",".",".",".","0.9","."
"First Semester Italian Honors","181
001","14","3.571","64.3","7.1","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","201
002","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","15","3.533","53.3","20.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","201
004","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","45","3.633","57.8","20.0","15.6","4.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"","203
001","16","3.531","43.8","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","20","3.075","25.0","10.0","30.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","203
004","21","3.024","9.5","19.0","42.9","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
006","18","3.111","16.7","16.7","44.4","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
008","16","3.250","31.3","6.3","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
009","12","3.250","8.3","41.7","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","103","3.189","22.3","18.4","37.9","17.5","3.9",".",".",".",".",".",".",".",".",".",".","."
"","204
001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","11","3.455","36.4","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","24","3.604","50.0","20.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
002","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Adv Compostn&Converstn","311
001","18","3.324","22.2","33.3","22.2","16.7",".",".",".","5.6",".",".",".",".",".",".",".","."
"","321
001","9","3.481","22.2","44.4","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","321
001 301","8","3.532","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","Course Total","17","3.509","29.4","41.2","17.6","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Structures of Italian","340
001","12","3.765","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Corso Di Stilistca Applicta","423
001","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Italian Lit","451
001","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","460
001 301 6","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","460
001 302 6","7","3.900","57.1","14.3",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Italian Film","Course Total","14","3.909","64.3","14.3",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 262 of 441",""
