"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"231
GEN BUS","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","100
001 301","21","2.976","9.5","19.0","42.9","14.3","9.5","4.8","",".",".",".",".",".",".",".",".",".","."
"","100
001 302","22","3.000","4.5","31.8","31.8","22.7","9.1",".","",".",".",".",".",".",".",".",".",".","."
"","100
001 303","29","3.034","10.3","27.6","27.6","27.6","3.4","3.4","",".",".",".",".",".",".",".",".",".","."
"","100
001 308","27","2.963","3.7","37.0","22.2","22.2","7.4","7.4","",".",".",".",".",".",".",".",".",".","."
"","100
001 304","29","3.190","20.7","27.6","31.0","10.3","10.3",".","",".",".",".",".",".",".",".",".",".","."
"","100
001 305","31","3.323","25.8","29.0","35.5","3.2","6.5",".","",".",".",".",".",".",".",".",".",".","."
"","100
001 306","26","2.769","11.5","7.7","30.8","23.1","23.1","3.8","",".",".",".",".",".",".",".",".",".","."
"","100
001 307","28","3.054","10.7","32.1","25.0","21.4","7.1","3.6","",".",".",".",".",".",".",".",".",".","."
"","100
001 310","22","3.114","31.8","18.2","18.2","4.5","9.1","18.2","",".",".",".",".",".",".",".",".",".","."
"","100
001 309","29","3.190","27.6","20.7","27.6","10.3","13.8",".","",".",".",".",".",".",".",".",".",".","."
"Introduction to Business","Course Total","264","3.070","15.9","25.4","29.2","15.9","9.8","3.8","",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
201","11","",".",".",".",".",".",".","",".",".",".","100.0",".",".",".",".",".","."
"","300
001 303","3","3.667","33.3","66.7",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
001","21","3.619","23.8","76.2",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","24","3.625","25.0","75.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
002","19","3.789","63.2","31.6","5.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
003","20","3.737","45.0","50.0",".",".",".",".","",".",".",".",".",".",".","5.0",".",".","."
"","300
004 301","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
004 302","3","3.833","66.7","33.3",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
004","18","3.611","33.3","55.6","11.1",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","22","3.671","40.9","50.0","9.1",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
005","20","3.526","15.0","70.0","10.0",".",".",".","",".",".",".",".",".",".",".","5.0",".","."
"","300
005 301","2","3.500",".","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
005 302","1","3.500",".","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","23","3.522","13.0","73.9","8.7",".",".",".","",".",".",".",".",".",".",".","4.3",".","."
"","300
006 301","3","3.667","33.3","66.7",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
006","21","3.833","66.7","33.3",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","24","3.807","62.5","37.5",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
007","20","3.763","55.0","35.0","5.0",".",".",".","",".",".",".",".",".",".","5.0",".",".","."
"","300
007 303","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
007 302","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","Section Total","23","3.792","56.5","30.4","4.3",".",".",".","",".",".",".",".",".",".","8.7",".",".","."
"","300
008","21","3.816","57.1","33.3",".",".",".",".","",".",".",".",".",".",".",".",".",".","9.5"
"","300
008 303","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","22","3.828","59.1","31.8",".",".",".",".","",".",".",".",".",".",".",".",".",".","9.1"
"","300
009","23","3.804","60.9","39.1",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
010 303","1","3.000",".",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
010 301","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
010","18","3.889","77.8","22.2",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","20","3.852","75.0","20.0","5.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
011","22","3.813","63.6","36.4",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
011 303","2","3.500",".","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","24","3.784","58.3","41.7",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
012 303","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
012","24","3.667","45.8","41.7","12.5",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","25","3.680","48.0","40.0","12.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
013","22","3.705","40.9","59.1",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
014","19","3.789","57.9","42.1",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
