"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"736
PHILOS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001 303","19","2.842","5.3","21.1","21.1","42.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"","101
001 304","18","3.056","11.1","33.3","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","101
001 301","17","3.088","17.6","11.8","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 302","16","3.125","18.8","25.0","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","101
001 305","19","3.139","21.1","21.1","21.1","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","Section Total","89","3.045","14.6","22.5","25.8","29.2","6.7",".",".","1.1",".",".",".",".",".",".",".","."
"","101
002 311","18","3.056","16.7","27.8","27.8","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","101
002 312","18","3.056","27.8","22.2","11.1","11.1","16.7","11.1",".",".",".",".",".",".",".",".",".","."
"","101
002 313","17","3.088","29.4","17.6","17.6","11.8","23.5",".",".",".",".",".",".",".",".",".",".","."
"","101
002 314","18","3.389","38.9","44.4","5.6",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","101
002 315","20","3.325","20.0","45.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","91","3.187","26.4","31.9","16.5","7.7","12.1","4.4","1.1",".",".",".",".",".",".",".",".","."
"","101
003 322","15","3.067","13.3","26.7","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","101
003 320","16","2.875",".","12.5","56.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","101
003 321","18","2.882","11.1","11.1","44.4","22.2",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"","101
003 323","19","3.289","15.8","31.6","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003 324","17","3.118","17.6","17.6","41.2","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","85","3.054","11.8","20.0","43.5","18.8","3.5",".","1.2","1.2",".",".",".",".",".",".",".","."
"","101
004 332","20","2.947","5.0","15.0","45.0","25.0","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"","101
004 331","16","2.844",".","31.3","25.0","25.0","18.8",".",".",".",".",".",".",".",".",".",".","."
"","101
004 333","16","3.281","25.0","18.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004 334","17","3.029","11.8","17.6","41.2","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
004 335","17","2.794","5.9","17.6","17.6","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","Section Total","86","2.976","9.3","19.8","34.9","26.7","7.0","1.2",".",".",".",".",".",".","1.2",".",".","."
"","101
005 341","16","3.063","18.8","25.0","18.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","101
005 342","19","2.947","5.3","21.1","47.4","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","101
005 343","16","2.875",".","18.8","43.8","31.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","101
005 344","14","2.857",".","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","101
005 345","14","2.964","14.3","28.6","14.3","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","Section Total","79","2.943","7.6","21.5","36.7","20.3","11.4","2.5",".",".",".",".",".",".",".",".",".","."
"","101
006 353","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006 352","17","3.500","41.2","35.3","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","101
006 351","15","3.567","46.7","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006 350","17","3.353","23.5","41.2","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","65","3.538","43.1","30.8","20.0","3.1","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","495","3.110","18.0","24.2","29.7","18.2","7.3","1.6","0.4","0.4",".",".",".",".","0.2",".",".","."
"","104
001","16","3.188","25.0","25.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","104
002","13","3.667","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Spec Topics:Philos-Freshmen","Course Total","29","3.393","31.0","34.5","13.8","13.8","3.4",".",".",".",".",".",".",".",".","3.4",".","."
"","201
001 302","16","3.656","62.5","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001 303","18","3.382","44.4","11.1","22.2","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"","201
001 301","18","3.235","22.2","33.3","16.7","11.1","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"Intro to Philos for Jr & Sr","Course Total","52","3.420","42.3","21.2","15.4","9.6","7.7",".",".","3.8",".",".",".",".",".",".",".","."
"","210
001 303","19","3.158","21.1","26.3","26.3","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","210
001 304","18","3.250","27.8","11.1","50.0","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","210
001 302","20","3.125","20.0","30.0","15.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","210
001 301","22","3.000","27.3","18.2","22.7","9.1","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","79","3.127","24.1","21.5","27.8","13.9","8.9","2.5","1.3",".",".",".",".",".",".",".",".","."
