"MANAGEMENT AND HUMAN RES Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"236
M H R","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"Reading & Rsch-Management
Course Total","","6","4.000","","83.3",".","",".",".","",".","",".","",".",".",".",".",".",".","16.7",".",".","."
"Smr-Administrative Policy
870
001","","3","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt
975
001","","2","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"990
002","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
004","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
031","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
062","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
088","","3","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
123","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
124","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"PhD Thesis-Management
Course Total","","10","","",".",".","",".",".","",".","",".","",".","90.0",".",".",".","10.0",".",".",".","."
"999
002","","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"999
008","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"999
129","","2","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD
Course Total","","5","4.000","","60.0",".","",".",".","",".","",".","",".",".",".",".",".",".","40.0",".",".","."
