"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"350
ENGLISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","110
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
003","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","37","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Intmed Engl Lang Skills","114
001 304","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Grammar-Academic Use","Course Total","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
004","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","58","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
006","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
007","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","94","",".",".",".",".",".",".",".",".",".","96.8","3.2",".",".",".",".","."
"","118
001","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","14","3.321","42.9","14.3","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","118
003","16","3.367","31.3","25.0","25.0","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"","118
004","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","16","3.469","31.3","43.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","118
007","15","3.700","66.7","6.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Academic Writing II","Course Total","89","3.534","47.2","23.6","19.1","5.6","3.4",".",".",".",".",".",".",".","1.1",".",".","."
"","122
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Oral Communicatn Skills","Course Total","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","162
001 304","18","3.333","33.3","27.8","22.2","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","162
001 315","16","2.813","6.3","6.3","37.5","43.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","162
001 316","13","3.038","15.4","23.1","23.1","30.8",".","7.7",".",".",".",".",".",".",".",".",".","."
"","162
001 314","16","3.313","12.5","43.8","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001 312","18","3.206","16.7","27.8","27.8","22.2",".",".",".",".",".",".",".",".","5.6",".",".","."
"","162
001 301","17","2.733",".","29.4","23.5","17.6","5.9","5.9","5.9","5.9",".",".",".",".","5.9",".",".","."
"","162
001 313","17","3.265","17.6","41.2","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","162
001 303","17","2.735","11.8","17.6","17.6","11.8","29.4","11.8",".",".",".",".",".",".",".",".",".","."
"","162
001 310","18","3.000","11.1","38.9","22.2","16.7",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","162
001 305","17","2.971","5.9","35.3","29.4","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","162
001 306","14","3.462","42.9","28.6","7.1",".","14.3",".",".",".",".",".",".",".","7.1",".",".","."
"","162
001 307","18","3.361","33.3","11.1","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001 308","19","3.263","42.1","31.6","15.8",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"","162
001 311","17","3.324","23.5","52.9","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","162
001 309","18","3.222","11.1","38.9","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","162
001 302","19","3.139","15.8","21.1","42.1","5.3","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"Shakespeare","Course Total","272","3.139","18.8","29.8","27.6","11.4","6.6","2.2","1.8","0.7",".",".",".",".","1.1",".",".","."
"","167
001 311","18","3.529","16.7","66.7","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 218 of 441",""
