"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"168
ART","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"Advanced Sculpture II","614
001","","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Advanced Artists' Video","618
001","","6","3.917","83.3","16.7",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","622
001","","7","4.000","71.4",".",".",".",".","",".",".",".",".",".",".",".","28.6",".",".","."
"","622
002","","12","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting II","Course Total","","19","4.000","89.5",".",".",".",".","",".",".",".",".",".",".",".","10.5",".",".","."
"Advanced Ceramics II","624
001","","13","3.333","7.7","61.5","15.4",".","7.7","",".",".",".",".",".",".",".","7.7",".",".","."
"Advanced Life Drawing II","632
002","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Computer Augmented Printmaking","636
001","","10","4.000","90.0",".",".",".",".","",".",".","10.0",".",".",".",".",".",".",".","."
"Advanced Watercolor II","642
001","","5","3.900","80.0","20.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Advanced Art Metal II","644
001","","4","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"Art of the Printed Book","646
001","","12","3.500","33.3","41.7","16.7","8.3",".","",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpt&Meth-Figuratn II","652
001","","2","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","674
001","","3","3.750","33.3","33.3",".",".",".","",".",".",".",".",".",".",".","33.3",".",".","."
"","699
002","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","6","3.643","50.0","33.3","16.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
005","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
006","","7","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
008","","8","4.000","62.5",".",".",".",".","",".",".",".",".",".",".",".","37.5",".",".","."
"","699
009","","2","3.800","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
010","","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
011","","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","18","4.000","83.3",".",".",".",".","",".",".",".",".",".",".",".","16.7",".",".","."
"","699
013","","8","4.000","75.0",".",".",".",".","",".",".",".",".",".",".",".","25.0",".",".","."
"","699
014","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
020","","3","3.875","66.7","33.3",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
024","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
031","","4","2.875","50.0","25.0",".",".",".","",".","25.0",".",".",".",".",".",".",".",".","."
"","699
034","","4","3.600","25.0","50.0","25.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
045","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
058","","5","4.000","60.0",".",".",".",".","",".",".",".",".",".",".",".","40.0",".",".","."
"","699
067","","2","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
069","","6","4.000","83.3",".",".",".",".","",".",".",".",".",".",".",".","16.7",".",".","."
"","699
076","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
090","","2","2.600",".",".","50.0",".","50.0","",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","89","3.827","71.9","10.1","3.4",".","1.1","",".","1.1",".",".",".",".",".","12.4",".",".","."
"Grad Intaglio Printmaking I","726
001","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Grad Graphics Workshop I","736
001","","8","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Grad Graphics Workshop II","836
001","","6","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","908
001","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","908
002","","10","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","908
004","","10","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","908
006","","16","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Art","Course Total","","37","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","912
002","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","912
005","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","912
010","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","912
021","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 75 of 441",""
