"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"778
POLI SCI","","Grades","GPA","","","","","","","","","","","","","","","",""
"","209
001 303","20","3.275","15.0","40.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","173","3.237","19.1","31.2","32.4","12.1","3.5",".","0.6","0.6",".",".",".",".","0.6",".",".","."
"","209
002 310","22","3.227","31.8","27.3","18.2","18.2",".",".","4.5",".",".",".",".",".",".",".",".","."
"","209
002 311","20","3.425","35.0","25.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","209
002 312","17","3.294","41.2","17.6","17.6","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","209
002 313","19","3.139","21.1","21.1","26.3","15.8","10.5",".",".",".",".",".",".",".",".","5.3",".","."
"","Section Total","78","3.273","32.1","23.1","23.1","12.8","6.4",".","1.3",".",".",".",".",".",".","1.3",".","."
"Intro to Political Theory","Course Total","251","3.248","23.1","28.7","29.5","12.4","4.4",".","0.8","0.4",".",".",".",".","0.4","0.4",".","."
"Law, Politics and Society","217
001","49","2.844","18.4","16.3","26.5","14.3","16.3",".","6.1","2.0",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222
001","23","3.696","65.2","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 303","5","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 305","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 301","5","3.500","60.0",".",".",".","20.0",".",".",".",".",".",".",".","20.0",".",".","."
"","244
001 302","2","3.250","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 304","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","Course Total","17","3.563","58.8","5.9","17.6","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Civs of India-Modern Period","252
001 301","99","3.194","27.3","24.2","14.1","14.1","12.1","2.0",".",".",".",".",".",".","5.1","1.0",".","."
"Intro-Latin Amer Politics","261
001","57","3.125","14.0","29.8","33.3","15.8","1.8","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"","277
001 308","5","2.875","20.0",".",".","60.0",".",".",".",".",".",".",".",".",".","20.0",".","."
"","277
001 307","5","3.000",".","40.0",".","40.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"","277
001 304","2","3.000",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","277
001 303","4","2.500",".","25.0",".","25.0","50.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 302","3","2.500",".","33.3",".",".","66.7",".",".",".",".",".",".",".",".",".",".","."
"","277
001 309","4","3.167","25.0","25.0",".",".","25.0",".",".","25.0",".",".",".",".",".",".",".","."
"","277
001 310","5","2.500","20.0",".",".","20.0","60.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 306","5","2.200",".","20.0","20.0","20.0","20.0",".","20.0",".",".",".",".",".",".",".",".","."
