"ENGR MECHANICS & ASTRONAU Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"346
E M A","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Section Total","","3","3.167","33.3",".","33.3","33.3","",".","",".","",".",".",".",".",".",".",".",".",".","."
"304
004 304","","3","3.167",".","33.3","66.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials
Course Total","","11","2.682","9.1","9.1","45.5","18.2","",".","","9.1","","9.1",".",".",".",".",".",".",".",".","."
"307
001","","5","3.500","40.0","20.0","40.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"307
002","","7","3.357","14.3","42.9","42.9",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"307
003","","3","2.667","33.3",".",".",".","","66.7","",".","",".",".",".",".",".",".",".",".",".","."
"307
004","","8","3.313","25.0","25.0","37.5","12.5","",".","",".","",".",".",".",".",".",".",".",".",".","."
"307
005","","5","3.500","40.0","20.0","40.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"307
006","","5","3.300",".","60.0","40.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"307
008","","6","3.250","16.7","16.7","66.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab
Course Total","","39","3.308","23.1","28.2","41.0","2.6","","5.1","",".","",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements
405
001","","27","4.000","96.3",".",".",".","",".","",".","",".","3.7",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar
425
001","","1","#Num!","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"469
001","","23","3.304","47.8","8.7","17.4","8.7","","17.4","",".","",".",".",".",".",".",".",".",".",".","."
"469
002","","14","3.286","21.4","28.6","42.9",".","","7.1","",".","",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering
Course Total","","37","3.297","37.8","16.2","27.0","5.4","","13.5","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I
506
001","","31","3.143","19.4","12.9","32.3","25.8","",".","",".","",".",".",".",".",".",".",".",".","9.7","."
"Aerodynamics
521
001","","38","2.513","5.3","13.2","28.9","15.8","","23.7","","5.3","","7.9",".",".",".",".",".",".",".",".","."
"Advanced Dynamics
542
001","","39","2.553","5.1","7.7","28.2","17.9","","30.8","","5.1","","2.6",".","2.6",".",".",".",".",".",".","."
"Engineering Analysis I
547
001","","6","2.917","33.3","33.3",".","16.7","",".","",".","","16.7",".",".",".",".",".",".",".",".","."
"Experimental Mechanics
570
001","","18","3.028","16.7","16.7","38.9","11.1","","16.7","",".","",".",".",".",".",".",".",".",".",".","."
"Intro to Finite Elements
605
001","","19","3.167","15.8","21.1","42.1","10.5","","5.3","",".","",".",".",".",".",".",".","5.3",".",".","."
"Mechanics of Continua
622
001","","12","3.083","16.7","33.3","25.0",".","","25.0","",".","",".",".",".",".",".",".",".",".",".","."
"699
006","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"699
014","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Independent Reading
Course Total","","3","4.000","66.7",".",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"Advanced Composite Material
708
001","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Vibratn & Wave Propagatn I
745
001","","10","3.400","30.0","30.0","30.0","10.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"790
004","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"790
005","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"790
009","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"790
011","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"790
014","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Master's Research or Thesis
Course Total","","8","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
005","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
011","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
014","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
015","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
040","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Pre-Dissertator Research
Course Total","","7","",".",".",".",".","",".","",".","",".","85.7",".",".",".","14.3",".",".",".","."
"990
009","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
040","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis
Course Total","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
