"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"448
HISTORY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001 306","17","3.088","5.9","35.3","41.2","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","101
001 309","17","3.000","5.9","17.6","58.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","101
001 304","15","3.357","26.7","26.7","33.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","101
001 308","15","2.967","6.7","20.0","46.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","101
001 303","15","2.600",".","6.7","53.3","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","101
001 305","12","3.125","8.3","41.7","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"","101
001 310","18","3.167","16.7","22.2","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 301","18","2.767",".","16.7","44.4","11.1","5.6",".","5.6",".",".",".",".",".",".",".","16.7","."
"","101
001 313","20","3.275","20.0","40.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","101
001 312","15","2.833","6.7","20.0","53.3",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","101
001 307","16","3.125","12.5","31.3","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","101
001 311","16","3.188","6.3","31.3","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 302","17","3.176","11.8","35.3","41.2",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Amer Hist to Civil War Era","Course Total","211","3.058","10.0","26.5","42.2","9.5","6.6","1.9","1.4","0.5",".",".",".",".",".",".","1.4","."
"","102
001 305","18","3.083","11.1","27.8","38.9","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
001 307","17","3.147","11.8","23.5","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001 308","16","3.300","12.5","43.8","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"","102
001 306","17","3.088","11.8","29.4","29.4","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
001 301","19","3.368","15.8","47.4","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001 302","18","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001 304","16","3.406","12.5","62.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001 303","18","3.333","5.6","55.6","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","Course Total","139","3.279","14.4","40.3","33.1","9.4","2.2",".",".","0.7",".",".",".",".",".",".",".","."
"","103
001 302","16","3.375","31.3","25.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 303","18","3.083","11.1","27.8","38.9","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","103
001 304","18","2.889","5.6","38.9","22.2","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","103
001 305","16","3.063","6.3","31.3","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 301","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-E Asian History:China","Course Total","79","3.114","15.2","29.1","31.6","16.5","6.3",".","1.3",".",".",".",".",".",".",".",".","."
"","106
001 302","14","3.464","64.3",".","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","106
001 301","13","2.846","30.8","15.4","23.1","15.4",".",".","15.4",".",".",".",".",".",".",".",".","."
"","106
001 303","11","2.682","27.3","9.1","36.4",".","9.1",".","18.2",".",".",".",".",".",".",".",".","."
"","106
001 304","15","3.464","40.0","20.0","26.7",".",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"Invasions&Empires:Cent Asia","Course Total","53","3.144","41.5","11.3","24.5","5.7","3.8","3.8","7.5","1.9",".",".",".",".",".",".",".","."
"","110
001 301","18","3.026","16.7","16.7","27.8","11.1","11.1","5.6",".","11.1",".",".",".",".",".",".",".","."
"","110
001 302","15","3.269","26.7","26.7","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","110
001 303","16","3.432","43.8","18.8","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","110
001 304","18","3.172","33.3","11.1","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","Course Total","67","3.224","29.9","17.9","23.9","14.9","9.0","1.5",".","3.0",".",".",".",".",".",".",".","."
"","115
001 301","18","3.000","16.7","22.2","22.2","22.2","16.7",".",".",".",".",".",".",".",".",".",".","."
"","115
001 302","17","2.811","5.9","17.6","23.5","23.5","17.6","5.9",".","5.9",".",".",".",".",".",".",".","."
"","115
001 303","14","3.137","14.3","21.4","35.7","21.4",".",".",".","7.1",".",".",".",".",".",".",".","."
"","115
001 304","17","2.754","5.9","17.6","41.2","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","Course Total","66","2.917","10.6","19.7","30.3","21.2","12.1","1.5","1.5","3.0",".",".",".",".",".",".",".","."
"","120
001 308","18","3.214","16.7","38.9","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","120
001 307","18","3.241","16.7","33.3","27.8","5.6","5.6","5.6",".",".",".",".",".",".","5.6",".",".","."
"","120
001 304","17","2.594","11.8","11.8","23.5","11.8","17.6","11.8","5.9","5.9",".",".",".",".",".",".",".","."
"","120
001 303","16","3.157","18.8","18.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".","6.3","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 245 of 441",""
