"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"350
ENGLISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","167
001 302","19","3.333","10.5","52.6","26.3",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","167
001 301","16","3.267","18.8","50.0","18.8",".",".",".","6.3",".",".",".",".",".",".",".","6.3","."
"","167
001 310","20","3.300","35.0","30.0","25.0",".",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"","167
001 309","18","3.250","11.1","33.3","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","167
001 308","20","3.300","15.0","60.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","167
001 307","18","3.528","33.3","44.4","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","167
001 306","17","3.382","29.4","29.4","35.3",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","167
001 305","19","3.211","10.5","52.6","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","167
001 304","18","3.324","16.7","38.9","27.8","11.1",".",".",".",".",".",".",".",".","5.6",".",".","."
"","167
001 303","17","3.206","11.8","35.3","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","167
001 312","18","3.088",".","50.0","38.9",".",".",".","5.6",".",".",".",".",".",".","5.6",".","."
"","Section Total","218","3.310","17.4","45.4","28.4","2.3","1.4","0.5","2.3",".",".",".",".",".","0.9","0.9","0.5","."
"","167
002 328","19","3.053","5.3","15.8","68.4","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","167
002 317","17","3.235","17.6","23.5","52.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","167
002 318","16","3.281","25.0","12.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","167
002 319","18","3.235","11.1","44.4","27.8",".","11.1",".",".",".",".",".",".",".",".","5.6",".","."
"","167
002 320","18","3.139","11.1","27.8","44.4","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","167
002 321","17","3.031","35.3","5.9","41.2",".",".",".","11.8",".",".",".",".",".",".","5.9",".","."
"","167
002 322","18","3.222","16.7","27.8","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","167
002 323","18","3.294","16.7","33.3","38.9",".","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"","167
002 324","19","3.237","10.5","42.1","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","167
002 329","19","3.342","26.3","31.6","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","167
002 331","19","3.237","21.1","42.1","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","167
002 327","18","3.000","5.6","33.3","22.2","33.3",".","5.6",".",".",".",".",".",".",".",".",".","."
"","167
002 326","19","3.237","15.8","26.3","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","235","3.196","16.6","28.5","40.9","7.7","3.4","0.4","1.3",".",".",".",".",".",".","1.3",".","."
"Intro-Brit & Amer Lit pre-1914","Course Total","453","3.251","17.0","36.6","34.9","5.1","2.4","0.4","1.8",".",".",".",".",".","0.4","1.1","0.2","."
"","168
001 307","16","3.000","6.3","6.3","75.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","168
001 316","18","3.333","22.2","33.3","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","168
001 315","19","3.500","42.1","21.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","168
001 314","19","3.237","10.5","36.8","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","168
001 313","18","3.361","22.2","38.9","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","168
001 312","19","2.579","10.5","15.8","21.1","26.3","15.8",".","10.5",".",".",".",".",".",".",".",".","."
"","168
001 311","18","2.944","22.2",".","38.9","22.2","16.7",".",".",".",".",".",".",".",".",".",".","."
"","168
001 310","19","2.947","10.5","31.6","31.6","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","168
001 308","16","3.063","6.3","25.0","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","168
001 305","17","3.469","23.5","41.2","29.4",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","168
001 304","19","3.342","15.8","47.4","31.6",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","168
001 303","19","3.056","10.5","21.1","42.1","10.5","10.5",".",".",".",".",".",".",".","5.3",".",".","."
"","168
001 302","18","3.389","22.2","38.9","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","168
001 301","19","3.105","26.3","5.3","36.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","168
001 306","16","2.938","12.5","12.5","31.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","168
001 309","19","3.316","21.1","26.3","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Lit since 1900","Course Total","289","3.162","18.0","25.3","37.4","12.5","4.8","0.3","1.0",".",".",".",".",".","0.7",".",".","."
"","169
001 306","16","3.031",".","31.3","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","169
001 308","17","3.353","11.8","52.9","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","169
001 307","17","3.000","11.8","23.5","35.3","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","169
001 305","19","3.361","31.6","36.8","21.1",".",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"","169
001 304","18","3.167","22.2","11.1","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 219 of 441",""
