"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"896
SOC WORK","","Grades","GPA","","","","","","","","","","","","","","","",""
"","105
001","22","3.500","50.0","18.2","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","105
002 301","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002 306","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002 305","1","0.000",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".",".","."
"","105
002 304","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002 303","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","29","3.472","58.6","13.8","13.8","6.9","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","205
001 309","25","3.580","44.0","32.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","205
001 305","26","3.635","53.8","30.8","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","205
001 301","25","3.688","68.0","12.0","8.0",".","8.0",".",".",".",".",".",".",".",".",".","4.0","."
"","205
001 304","27","3.660","48.1","25.9","18.5",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"","205
001 302","27","3.722","70.4","18.5",".","7.4",".","3.7",".",".",".",".",".",".",".",".",".","."
"","205
001 306","26","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
001 303","28","3.696","53.6","35.7","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","205
001 308","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","Course Total","207","3.718","62.3","23.2","8.7","2.4","1.4","0.5",".","1.0",".",".",".",".",".",".","0.5","."
"Cont Issues-Social Welfare","275
001","19","3.794","63.2","15.8","10.5",".",".",".",".",".",".",".",".",".","5.3","5.3",".","."
"","400
001","3","3.750","33.3","33.3",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","400
002","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","10","3.944","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
005","5","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"","400
006","6","3.940","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","13","3.839","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","400
010","11","3.917","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
012","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
014","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
015","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","90","3.915","81.1","12.2","2.2",".",".",".",".",".",".",".",".",".","4.4",".",".","."
"","401
002","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
003","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","25","3.820","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","24","3.813","75.0","20.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","440
003","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","22","3.500","31.8","50.0","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice Soc Work I","Course Total","96","3.781","66.7","28.1","2.1","1.0","2.1",".",".",".",".",".",".",".",".",".",".","."
"","458
001 303","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","458
001 302","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","458
001 305","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","458
001 301","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","458
001 304","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Skills Devel","Course Total","77","3.968","96.1","1.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","35","3.250","2.9","51.4","34.3","8.6",".",".",".",".",".",".",".",".","2.9",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 332 of 441",""
