"SPANISH (SPANISH AND PORTU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"912
SPANISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","311
008","21","3.325","9.5","47.6","33.3","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"","311
009","23","3.239","30.4","17.4","30.4","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","311
010","21","3.225","52.4","14.3","9.5",".","4.8","4.8","9.5",".",".",".",".",".","4.8",".",".","."
"","311
011","23","3.205","17.4","26.1","34.8","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","221","3.299","27.6","27.1","25.8","8.1","4.5","1.4","0.9","3.2",".",".",".",".","0.9",".",".","0.5"
"Topics in Span Lang Pract","319
001","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","25","3.196","32.0","16.0","20.0","4.0","16.0","4.0",".",".",".",".",".",".","4.0",".",".","4.0"
"","320
002","25","3.457","52.0","16.0","4.0","4.0","16.0",".",".","4.0",".",".",".",".","4.0",".",".","."
"","320
003","25","3.640","60.0","20.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","320
004","28","3.500","53.6","7.1","28.6","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","103","3.455","49.5","14.6","16.5","4.9","9.7","1.0",".","1.0",".",".",".",".","1.9",".",".","1.0"
"","322
001","34","3.676","58.8","20.6","17.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","29","3.714","62.1","20.7","10.3",".","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","63","3.694","60.3","20.6","14.3","1.6","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
001","25","3.160","24.0","20.0","32.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","28","3.089","25.0","17.9","32.1",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","325
001","24","3.500","41.7","16.7","29.2",".","4.2",".",".","8.3",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","326
001","27","3.222","37.0","14.8","18.5","14.8","14.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","327
001","31","3.629","58.1","19.4","16.1","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Spanish Business Area Study","359
001","23","3.568","30.4","47.8","17.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","361
002 303","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","23","3.826","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","Course Total","27","3.856","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
002 302","4","3.433","50.0",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","417
002","17","3.500","41.2","17.6","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","Course Total","21","3.485","42.9","14.3","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","453
001 301","3","3.455","66.7",".",".",".",".","33.3",".",".",".",".",".",".",".",".",".","."
"","453
001","17","3.279","35.3","17.6","23.5","11.8",".","11.8",".",".",".",".",".",".",".",".",".","."
"Lit-Twentieth Century","Course Total","20","3.310","40.0","15.0","20.0","10.0",".","15.0",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Lit","456
001","15","3.233","26.7","40.0","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Spanish Amer Poetry & Essay","464
001","20","3.590","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
001","25","3.229","32.0","16.0","20.0","8.0","16.0",".",".",".",".",".",".",".","8.0",".",".","."
"","468
001 301","3","3.682","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","28","3.290","32.1","21.4","17.9","7.1","14.3",".",".",".",".",".",".",".","7.1",".",".","."
"Survey of Medieval Lit","503
001","23","3.413","30.4","30.4","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Survey-Spanish Lit","505
001","27","3.920","77.8","14.8",".",".",".",".",".",".",".",".",".",".","7.4",".",".","."
"College Teaching of Spanish","545
001","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Structure of Spanish Lang","548
001","19","3.722","57.9","21.1","15.8",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"La Nov Espanola-1898-1940","620
001","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","681
009","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
020","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
041","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".",".","."
"","699
008","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
033","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
