"L&S","","","","","","","","","","","","","","","","","","","",""
"PORTUGUESE (SPANISH & PORT Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"782
PORTUG","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","101
002","","20","2.316","15.0","10.0","10.0","10.0","30.0","5.0","15.0",".",".",".",".",".",".","5.0",".","."
"","101
003","","11","2.773","9.1","18.2","18.2","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","101
004","","21","2.690","9.5","9.5","42.9","4.8","23.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","101
005","","19","3.167","36.8","10.5","15.8","10.5","21.1",".",".",".",".",".",".",".","5.3",".",".","."
"","101
006","","18","3.361","44.4","16.7","22.2",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","101
007","","9","3.278","33.3","11.1","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","","98","2.896","24.5","12.2","24.5","8.2","20.4","4.1","4.1",".",".",".",".",".","1.0","1.0",".","."
"","201
001","","14","3.286","57.1",".","28.6",".",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"","201
002","","24","3.292","37.5","12.5","29.2","12.5",".","8.3",".",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","","38","3.289","44.7","7.9","28.9","7.9",".","7.9","2.6",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221
001","","5","3.500","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"3rd Yr Conversatn&Compositn","225
001","","10","3.200","50.0","20.0","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn&Conversatn","311
001","","3","3.786","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Grammar-Portug","335
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Port Lit since 1825","467
001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
022","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Portuguese M.A. Proseminar","707
001","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar: Brazilian Literature","751
001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"","899
020","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899
032","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
022","","1","",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".","."
"","990
032","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Thesis","Course Total","","2","",".",".",".",".",".",".",".","50.0","50.0",".",".",".",".",".",".","."
"782
PORTUG","Dept. Total","","196","3.179","39.3","12.8","21.4","5.6","10.7","3.6","3.1","0.5","0.5","0.5",".",".","1.0","1.0",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","13","3.480","53.8","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","54","2.929","27.8","13.0","20.4","9.3","14.8","1.9","7.4",".",".",".",".",".","3.7","1.9",".","."
"Junior","","","56","3.106","37.5","12.5","21.4","1.8","16.1","8.9","1.8",".",".",".",".",".",".",".",".","."
"Senior","","","43","3.113","23.3","20.9","34.9","9.3","7.0","2.3","2.3",".",".",".",".",".",".",".",".","."
"Undergraduates","","","166","3.081","31.9","15.1","24.1","6.6","12.7","4.2","3.6",".",".",".",".",".","1.2","0.6",".","."
"Special","","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","","26","3.901","76.9",".","7.7",".",".",".",".","3.8","3.8","3.8",".",".",".","3.8",".","."
"","Dept. Total","","196","3.179","39.3","12.8","21.4","5.6","10.7","3.6","3.1","0.5","0.5","0.5",".",".","1.0","1.0",".","."
