"EDU","","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL ADMINISTRATIO Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"305
ED ADMIN","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"990
003","7","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
012","6","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
014","4","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
020","11","",".",".",".",".","",".","",".","",".",".","9.1",".",".","90.9",".",".",".","."
"990
027","12","",".",".",".",".","",".","",".","",".","8.3",".",".",".","91.7",".",".",".","."
"990
032","6","",".",".",".",".","",".","",".","",".","83.3",".",".",".",".","16.7",".",".","."
"990
033","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
036","10","",".",".",".",".","",".","",".","",".","20.0",".",".",".","80.0",".",".",".","."
"990
040","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
042","7","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
044","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
045","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research or Thesis
Course Total","67","",".",".",".",".","",".","",".","",".","25.4","1.5",".",".","71.6","1.5",".",".","."
"999
012","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"999
014","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"999
020","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"999
027","3","4.000","66.7",".",".",".","",".","",".","",".",".",".",".",".","33.3",".",".",".","."
"999
032","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"999
033","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"999
036","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"999
043","3","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"999
045","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"999
117","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Reading
Course Total","17","3.950","64.7","17.6",".",".","",".","",".","",".",".",".",".",".","5.9","11.8",".",".","."
"305
ED ADMIN
Dept. Total","451","3.905","68.3","9.5","2.0","0.7","",".","",".","",".","4.0","0.2",".",".","10.9","3.8","0.7",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"305
ED ADMIN","","","","","","","","","","","","","","","","","","","","",""
"Senior","4","3.875","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","4","3.875","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special","45","3.957","75.6","6.7",".",".","",".","",".","",".","2.2",".",".",".",".","15.6",".",".","."
"Graduate","389","3.900","66.6","10.0","2.3","0.5","",".","",".","",".","4.4","0.3",".",".","12.6","2.6","0.8",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","12","3.875","91.7",".",".","8.3","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","13","3.885","92.3",".",".","7.7","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Dept. Total","451","3.905","68.3","9.5","2.0","0.7","",".","",".","",".","4.0","0.2",".",".","10.9","3.8","0.7",".","."
