"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"778
POLI SCI","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Hist-Amer Political Thought","565
001","","62","3.517","38.7","32.3","16.1","9.7","",".","",".","",".",".",".",".",".",".","1.6","1.6",".","."
"Transitions to the Market","612
001","","19","3.808","68.4","26.3","5.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"State & Nation Post-Soviet Pol","634
001","","46","3.047","13.0","34.8","23.9","17.4","","6.5","","2.2","","2.2",".",".",".",".",".",".",".",".","."
"Politics of South Asia","651
001","","26","3.405","15.4","34.6","30.8",".","",".","",".","",".",".",".",".",".",".","15.4","3.8",".","."
"Comparative Social Movements","662
001","","32","3.212","3.1","50.0","28.1","9.4","","3.1","",".","",".",".",".",".",".",".","3.1","3.1",".","."
"","681
021","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
025","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","681
034","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
078","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","33.3",".",".",".","",".","",".","",".",".",".",".",".","66.7",".",".",".","."
"","682
021","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","682
177","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis Smr","683
001","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","691
013","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","691
021","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","691
025","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","691
042","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","691
063","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","691
096","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","691
098","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis","Course Total","","7","4.000","14.3",".",".",".","",".","",".","",".",".",".",".",".","71.4","14.3",".",".","."
"","692
017","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","692
021","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","695
001","","6","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","695
002","","20","3.700","45.0","50.0","5.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","26","3.712","46.2","50.0","3.8",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","698
004","","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","698
009","","4","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","698
017","","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","698
021","","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","698
034","","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","698
099","","2","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","Course Total","","10","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","699
004","","4","3.333","25.0","25.0","25.0",".","",".","",".","",".",".",".",".",".",".","25.0",".",".","."
"","699
006","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
009","","8","4.000","87.5",".",".",".","",".","",".","",".",".",".",".",".",".","12.5",".",".","."
"","699
013","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
018","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
021","","3","4.000","66.7",".",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"","699
024","","9","3.929","88.9","11.1",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
025","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
042","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
096","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
099","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","35","3.922","80.0","8.6","2.9",".","",".","",".","",".",".",".",".",".",".","8.6",".",".","."
