"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"272
CURRIC","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"","367
004","6","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","Section Total","10","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","81","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","368
001","27","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","368
002","27","3.958","81.5","7.4",".",".","",".","",".","",".",".",".",".",".",".","11.1",".",".","."
"","368
003","27","3.963","92.6","7.4",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","81","3.974","91.4","4.9",".",".","",".","",".","",".",".",".",".",".",".","3.7",".",".","."
"","369
001","27","3.981","96.3","3.7",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","369
002","27","3.958","85.2",".","3.7",".","",".","",".","",".",".",".",".",".",".","11.1",".",".","."
"","369
003","27","3.962","88.9","7.4",".",".","",".","",".","",".",".",".",".",".",".","3.7",".",".","."
"The Teaching of Language Arts","Course Total","81","3.968","90.1","3.7","1.2",".","",".","",".","",".",".",".",".",".",".","4.9",".",".","."
"","370
001","28","3.786","67.9","21.4","10.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","370
002","14","3.846","64.3","28.6",".",".","",".","",".","",".",".",".",".",".",".","7.1",".",".","."
"","370
003","21","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","370
004","10","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","73","3.889","80.8","13.7","4.1",".","",".","",".","",".",".",".",".",".",".","1.4",".",".","."
"","373
001 301","26","",".",".",".",".","",".","",".","",".",".",".","96.2",".",".",".",".",".","."
"","373
002 302","13","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","373
003 303","17","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","373
004","7","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","63","",".",".",".",".","",".","",".","",".",".",".","98.4",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001 301","14","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","375
001","17","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","375
002","20","3.879","70.0","25.0",".",".","",".","",".","",".",".",".",".",".",".","5.0",".",".","."
"","375
003 301","24","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","375
004 302","25","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","375
005 303","26","4.000","96.2",".",".",".","",".","",".","",".",".",".",".",".",".","3.8",".",".","."
"Proseminar","Course Total","112","3.988","93.8","4.5",".",".","",".","",".","",".",".",".",".",".",".","1.8",".",".","."
"Teaching of Physical Educ","378
001","24","3.917","83.3","16.7",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"School Services-Com Dis","392
001","44","3.966","93.2","6.8",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","13","3.923","92.3",".","7.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","399
006","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","399
021","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","399
095","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","8","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","422
001","40","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","422
002","40","3.974","95.0",".","2.5",".","",".","",".","",".",".",".",".",".",".","2.5",".",".","."
"The Teaching of Children's Lit","Course Total","80","3.987","97.5",".","1.3",".","",".","",".","",".",".",".",".",".",".","1.3",".",".","."
"","425
001","26","3.920","80.8","15.4",".",".","",".","",".","",".",".",".",".",".",".","3.8",".",".","."
"","425
002","25","3.958","88.0","8.0",".",".","",".","",".","",".",".",".",".",".",".","4.0",".",".","."
"Concrn&Constrnt-Tch Yng Chl","Course Total","51","3.939","84.3","11.8",".",".","",".","",".","",".",".",".",".",".",".","3.9",".",".","."
"Young Adult Lit for Schools","431
001","18","3.889","83.3","11.1","5.6",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Stdt Teach-Sec Schl French","446
001","4","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Sec Schl German","447
001","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in Latin","455
001","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Stdt Teach-Sec Schl Spanish","456
001","5","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 84 of 441",""
