"AGRICULTURAL AND APPLIED E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"108
A A E","","Grades","GPA","","","","","","","","","","","","","","","",""
"","215
001","110","2.908","12.7","16.4","34.5","14.5","18.2","1.8","0.9","0.9",".",".",".",".",".",".",".","."
"","215
002","134","2.951","17.9","10.4","35.8","18.7","15.7","0.7","0.7",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","244","2.932","15.6","13.1","35.2","16.8","16.8","1.2","0.8","0.4",".",".",".",".",".",".",".","."
"","299
003","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","299
007","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","306
001 305","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","306
001 308","2","1.250",".",".",".","50.0",".",".","50.0",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","3","1.500",".",".",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".","."
"Cooperatives","323
001","46","3.098","28.3","13.0","28.3","10.9","8.7","10.9",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340
001","9","3.530","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","343
001 304","2","2.500",".",".",".","50.0",".",".",".","50.0",".",".",".",".",".",".",".","."
"","343
001 301","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","343
001 303","5","3.000","20.0","20.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","343
001 302","4","1.833",".",".","25.0","25.0","25.0",".","25.0",".",".",".",".",".",".",".",".","."
"","343
001 305","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","Course Total","15","2.608","13.3","6.7","26.7","20.0","20.0",".","6.7","6.7",".",".",".",".",".",".",".","."
"","374
001 302","14","2.750","7.1","21.4","28.6",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"","374
001 303","11","3.000","27.3",".","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","374
001 301","4","3.125","50.0",".",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","Course Total","29","2.897","20.7","10.3","27.6","10.3","31.0",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","399
007","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
061","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Finance","419
001","22","3.200","18.2","18.2","36.4","18.2",".",".",".",".",".",".",".",".","4.5",".","4.5","."
"Production Economics","420
001","12","3.208","50.0",".","16.7","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"","575
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
002","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Microeconomic Thry","635
001","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
078","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","5","3.769","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Risk Analysis","706
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomics-Ag Developmt","731
001","10","4.000","20.0",".",".",".",".",".",".",".",".",".",".",".","80.0",".",".","."
"","799
059","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
063","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","Course Total","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
059","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
063","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
064","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
073","4","",".",".",".",".",".",".",".","75.0","25.0",".",".",".",".",".",".","."
"","990
074","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 1 of 441",""
