"L&S","","","","","","","","","","","","","","","","","",""
"ITALIAN (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"508
ITALIAN","Grades","GPA","","","","","","","","","","","","","","","",""
"699
005","2","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"699
007","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study
Course Total","3","4.000","33.3",".",".",".",".",".",".",".",".",".",".",".","66.7",".",".","."
"799
007","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"799
008","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study
Course Total","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"951
001","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"951
002","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit
Course Total","14","3.875","64.3","21.4",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"990
002","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
003","3","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990
004","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
005","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
008","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Individual Research
Course Total","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"508
ITALIAN
Dept. Total","654","3.295","33.5","20.5","26.1","9.2","4.0","1.4","1.4","1.8",".",".",".","0.3","1.5",".","0.3","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","",""
"Freshmen","105","3.319","35.2","19.0","29.5","10.5","3.8","1.0","1.0",".",".",".",".",".",".",".",".","."
"Sophomore","196","3.265","30.1","21.9","31.1","8.2","3.1","3.1","1.5",".",".",".",".",".",".",".","1.0","."
"Junior","162","3.270","32.1","23.5","22.8","11.1","4.9","1.2","1.9","1.2",".",".",".",".","1.2",".",".","."
"Senior","134","3.264","30.6","17.9","28.4","10.4","6.0",".","0.7","1.5",".",".",".",".","4.5",".",".","."
"Undergraduates","597","3.276","31.7","20.9","28.0","9.9","4.4","1.5","1.3","0.7",".",".",".",".","1.3",".","0.3","."
"Special","9","3.167","55.6",".","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Graduate","48","3.811","52.1","18.8","4.2",".",".",".",".","16.7",".",".",".","4.2","4.2",".",".","."
"Dept. Total","654","3.295","33.5","20.5","26.1","9.2","4.0","1.4","1.4","1.8",".",".",".","0.3","1.5",".","0.3","."
