"EGR","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"320
E C E","Grades","GPA","","","","","","","","","","","","","","","",""
"990
028","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
031","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
035","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990
040","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990
041","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990
042","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
044","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990
049","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
051","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990
054","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990
060","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
061","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
066","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
070","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research or Thesis
Course Total","30","",".",".",".",".",".",".",".","63.3",".",".",".","36.7",".",".",".","."
"999
005","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
006","5","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
024","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
054","4","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"999
060","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"999
062","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study
Course Total","14","3.909","64.3","14.3",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"320
E C E
Dept. Total","3273","3.189","31.3","19.7","16.9","9.8","7.6","1.5","1.0","3.4",".","4.1","0.1","3.3","0.8","0.1","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","",""
"Freshmen","4","1.900","25.0",".","50.0",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"Sophomore","280","3.052","43.2","18.9","13.9","11.8","8.6","1.8","1.4",".",".",".",".",".",".","0.4",".","."
"Junior","796","3.009","30.2","22.2","18.3","11.8","12.9","2.4","1.5",".",".",".",".",".","0.6",".",".","."
"Senior","1233","3.131","30.9","21.5","20.4","13.8","9.2","2.1","1.3",".",".","0.1",".","0.1","0.4","0.1","0.2","."
"Undergraduates","2313","3.079","32.1","21.4","18.9","12.8","10.4","2.2","1.4",".",".","0.0",".","0.0","0.4","0.1","0.1","."
"Special","64","3.301","26.6","21.9","20.3","3.1","4.7",".","1.6",".",".","4.7","1.6",".","9.4","1.6","3.1","."
"Graduate","896","3.597","29.6","15.1","11.4","2.5","0.7",".",".","12.4",".","14.4","0.3","11.9","1.0",".","0.1","."
"Dept. Total","3273","3.189","31.3","19.7","16.9","9.8","7.6","1.5","1.0","3.4",".","4.1","0.1","3.3","0.8","0.1","0.2","."
