"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"520
LAND ARC","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","201
001","18","3.389","22.2","33.3","44.4",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","201
002","20","3.450","30.0","30.0","40.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","38","3.421","26.3","31.6","42.1",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","250
001","22","2.850","22.7","9.1","18.2",".","36.4","4.5","",".","9.1",".",".",".",".",".",".",".","."
"","250
002","20","2.500",".","5.0","30.0","10.0","35.0","5.0","",".","10.0",".",".",".",".",".",".","5.0","."
"","250
003","13","2.731","7.7","23.1","15.4","15.4","30.8","7.7","",".",".",".",".",".",".",".",".",".","."
"","250
004","24","2.739","8.3","16.7","25.0","8.3","33.3","4.2","",".","4.2",".",".",".",".",".",".",".","."
"","250
005","23","2.413","8.7","4.3","13.0","8.7","39.1","26.1","",".",".",".",".",".",".",".",".",".","."
"","250
006","22","2.841","22.7","4.5","18.2","27.3","22.7","4.5","",".",".",".",".",".",".",".",".",".","."
"","250
007","22","2.786","18.2","13.6","13.6","9.1","40.9",".","",".","4.5",".",".",".",".",".",".",".","."
"","250
008","21","2.619",".","14.3","38.1","4.8","42.9",".","",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","167","2.684","11.4","10.8","21.6","10.2","35.3","6.6","",".","3.6",".",".",".",".",".",".","0.6","."
"Prin Land Arc Dsgn&Graphics","261
001 301","22","3.614","45.5","31.8","22.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","263
001 301","10","3.200","40.0",".","30.0","20.0",".","10.0","",".",".",".",".",".",".",".",".",".","."
"","263
002 301","11","2.864","9.1","18.2","36.4","9.1","18.2","9.1","",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","21","3.024","23.8","9.5","33.3","14.3","9.5","9.5","",".",".",".",".",".",".",".",".",".","."
"","354
001 302","4","3.125",".","75.0",".",".","25.0",".","",".",".",".",".",".",".",".",".",".","."
"","354
001 301","16","3.367","25.0","31.3","25.0","12.5",".",".","",".",".",".",".",".",".","6.3",".",".","."
"Landscape Arch Tech II","Course Total","20","3.316","20.0","40.0","20.0","10.0","5.0",".","",".",".",".",".",".",".","5.0",".",".","."
"Planting Design I","365
001","23","3.455","34.8","30.4","17.4","13.0",".",".","",".",".",".",".",".",".","4.3",".",".","."
"Special Topics","375
002 302","21","2.848","9.5","19.0","23.8","23.8","23.8",".","",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
015","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548
001","4","2.750",".","25.0","25.0","25.0",".","25.0","",".",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001 301","22","3.386","22.7","36.4","36.4","4.5",".",".","",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","22","3.412","27.3","18.2","27.3",".","4.5",".","",".",".",".",".",".",".","22.7",".",".","."
"Restoration Ecology","666
001 301","20","3.684","60.0","10.0","25.0",".",".",".","",".",".",".",".",".",".","5.0",".",".","."
"Adaptive Restoration Lab","670
002","6","3.583","16.7","83.3",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","695
001 301","5","3.300","20.0","20.0","60.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","695
001 302","4","2.875","25.0",".","25.0","25.0","25.0",".","",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","Course Total","9","3.111","22.2","11.1","44.4","11.1","11.1",".","",".",".",".",".",".",".",".",".",".","."
"Special Problems-Land Arch","699
011","1","",".",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".","."
"Theories-Landscape Change","710
001","14","3.455","28.6","14.3","35.7",".",".",".","",".","7.1",".",".",".",".","14.3",".",".","."
"Graduate Seminar","940
001","11","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
005","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","990
008","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
011","3","",".",".",".",".",".",".","",".","66.7",".",".",".","33.3",".",".",".","."
"","990
015","6","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
016","3","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","14","",".",".",".",".",".",".","",".","42.9",".",".",".","50.0","7.1",".",".","."
"","999
011","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
015","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","999
016","2","3.800","50.0","50.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Independent Studies","Course Total","6","3.929","66.7","16.7",".",".",".",".","",".","16.7",".",".",".",".",".",".",".","."
