"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","","I","","N","NR","Other"
"298
E A STDS","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Intro to East Asian Civ","222
001","","77","3.707","68.8","11.7","7.8","6.5","1.3","1.3","",".",".","1.3",".","",".","",".","",".","1.3",".","."
"Humanities Topics in EAS","300
001","","20","3.250","15.0","30.0","30.0","15.0",".",".","",".","10.0",".",".","",".","",".","",".",".",".","."
"Directed Study","699
020","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".","",".","",".",".",".","."
"298
E A STDS","Dept. Total","","98","3.621","58.2","15.3","12.2","8.2","1.0","1.0","",".","2.0","1.0",".","",".","",".","",".","1.0",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","12","3.250","41.7","16.7",".","33.3","8.3",".","",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","","48","3.654","60.4","16.7","16.7","6.3",".",".","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","","20","3.750","60.0","15.0","15.0",".",".",".","",".",".","5.0",".","",".","",".","",".","5.0",".","."
"Senior","","","16","3.656","68.8","12.5","6.3","6.3",".","6.3","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","96","3.621","59.4","15.6","12.5","8.3","1.0","1.0","",".",".","1.0",".","",".","",".","",".","1.0",".","."
"Special","","","2","",".",".",".",".",".",".","",".","100.0",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","98","3.621","58.2","15.3","12.2","8.2","1.0","1.0","",".","2.0","1.0",".","",".","",".","",".","1.0",".","."
