"Fall 2002-2003","","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","N","NR","Other"
"600
MATH","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"Undergraduate Thesis","691","012","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Methods of Applied Math 1","703","001","","23","3.614","69.6","4.3","4.3","8.7","8.7","",".","",".",".","",".",".","",".","",".","4.3",".",".","."
"Mathematical Fluid Dynamics","705","001","","23","3.630","43.5","43.5","8.7","4.3",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Finite Difference Methods","712","001","","6","3.750","50.0","50.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Numerical Functional Anal","717","001","","5","3.600","60.0",".","40.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"First Crse in Real Analysis","721","001","","34","3.868","79.4","14.7","5.9",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Nonlinear Progrmg Thry&Appl","726","001","","2","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".","",".","",".",".",".",".","."
"Abstract Algebra","741","001","","27","3.852","85.2",".","14.8",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Matrix Theory","743","001","","15","3.933","86.7","13.3",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Theory of Groups","745","001","","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Introductory Topology I","751","001","","25","4.000","96.0",".",".",".",".","",".","",".","4.0","",".",".","",".","",".",".",".",".","."
"Differentiable Manifolds","761","001","","15","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Algebraic Geometry","763","001","","13","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Foundations of Mathematics","770","001","","18","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Computability Theory","773","001","","12","3.917","91.7",".","8.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Applied Math","801","001","","9","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special Functions","805","001","","5","4.000","80.0",".",".",".",".","",".","",".","20.0","",".",".","",".","",".",".",".",".","."
"Algebraic Number Theory","811","001","","16","3.844","68.8","31.3",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Partial Differential Equatn","819","001","","15","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Fourier Analysis","827","001","","11","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Theory of Probability","831","001","","15","3.429","13.3","53.3","26.7",".",".","",".","",".","6.7","",".",".","",".","",".",".",".",".","."
"Topics in Probability","833","001","","6","3.833","83.3",".","16.7",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Topics in Algebra","841","001","","12","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Topics-Rings & Algebras","843","001","","16","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Topics in Number Theory","869","001","","9","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Topics in Foundations","873","001","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Smr in Math Education","903","001","","5","4.000","80.0",".",".",".",".","",".","",".","20.0","",".",".","",".","",".",".",".",".","."
"","941","001","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","941","005","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Seminar-Algebra","","Course Total","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Seminar in Topology","951","001","","11","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Seminar-Foundations of Math","975","001","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","990","008","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","009","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","021","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","036","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","037","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","038","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","042","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","046","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","057","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","074","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","107","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","110","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","113","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","","","Page 284 of 441",""
