"L&S","","","","","","","","","","","","","","","","","","","","","",""
"SCANDINAVIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"872
SCAND ST","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"","101
001","","18","3.559","50.0","22.2","11.1","5.6","5.6","",".","",".","5.6",".",".",".",".",".",".",".","."
"","101
002","","11","3.727","63.6","18.2","18.2",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"First Semester Norwegian","Course Total","","29","3.625","55.2","20.7","13.8","3.4","3.4","",".","",".","3.4",".",".",".",".",".",".",".","."
"First Semester Swedish","111
001","","20","3.900","85.0","10.0","5.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"First Semester Danish","121
001","","6","3.833","66.7","33.3",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Second Year Norwegian","201
001","","13","3.500","30.8","46.2","15.4","7.7",".","",".","",".",".",".",".",".",".",".",".",".","."
"Second Year Swedish","211
001","","7","3.929","85.7","14.3",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Second Year Danish","221
001","","7","3.286","14.3","42.9","28.6","14.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"Readings in Swedish Lit","261
001","","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Readings in Danish Lit","271
001","","5","3.800","80.0",".","20.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Scand Lit:Middle Ages-1900","373
001 304","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro to Scand Linguistics","410
001","","6","3.600","16.7","66.7",".",".",".","",".","",".",".",".",".",".",".","16.7",".",".","."
"19th C Scand Fiction","424
001","","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Mythology of Scandinavia","429
001","","5","3.800","60.0","40.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"The Art of Isak Dinesen","434
001","","6","3.800","66.7",".","16.7",".",".","",".","",".",".",".",".",".",".","16.7",".",".","."
"Kalevala&Finnish Folk-Lore","444
001","","15","3.929","80.0","13.3",".",".",".","",".","",".",".",".",".",".",".","6.7",".",".","."
"Special Topics","520
001","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Survey-Scand Lit: 1300-1500","633
001","","8","3.929","75.0","12.5",".",".",".","",".","",".","12.5",".",".",".",".",".",".",".","."
"","699
005","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
006","","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Directed Study","Course Total","","2","4.000","50.0",".",".",".",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"","799
002","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
005","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
006","","6","4.000","66.7",".",".",".",".","",".","",".","16.7",".",".",".",".","16.7",".",".","."
"Independent Study","Course Total","","8","4.000","75.0",".",".",".",".","",".","",".","12.5",".",".",".",".","12.5",".",".","."
"Research and Thesis","990
007","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","999
002","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
005","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
006","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
007","","2","3.875","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","3.972","83.3","16.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"872
SCAND ST","Dept. Total","","158","3.764","64.6","19.0","7.6","1.9","0.6","",".","",".","1.9",".",".",".","0.6","3.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","27","3.757","70.4","18.5","7.4",".","3.7","",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","32","3.766","68.8","18.8","9.4","3.1",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","","24","3.659","58.3","16.7","16.7","4.2",".","",".","",".",".",".",".",".",".","4.2",".",".","."
"Senior","","","29","3.725","55.2","24.1","6.9","3.4",".","",".","",".","3.4",".",".",".",".","6.9",".",".","."
"Undergraduates","","","112","3.732","63.4","19.6","9.8","2.7","0.9","",".","",".","0.9",".",".",".",".","2.7",".",".","."
"Special","","","9","3.796","55.6","11.1","11.1",".",".","",".","",".","22.2",".",".",".",".",".",".",".","."
"Graduate","","","37","3.894","70.3","18.9",".",".",".","",".","",".",".",".",".",".","2.7","8.1",".",".","."
"","Dept. Total","","158","3.764","64.6","19.0","7.6","1.9","0.6","",".","",".","1.9",".",".",".","0.6","3.8",".",".","."
