"EDU","","","","","","","","","","","","","","","","","","","","",""
"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","P","I","N","NR","Other"
"270
COUN PSY","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Rsch Methods in Cnsl Psych","950
001","9","3.875","66.7","22.2",".",".","",".","",".",".",".",".",".",".",".","11.1",".",".","."
"Rsch-Training & Supervision","953
001","7","",".",".",".",".","",".","",".",".",".",".",".",".",".","100.0",".",".","."
"Rsch-Voc Psych & Career Dev","956
001","6","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","990
003","4","",".",".",".",".","",".","",".",".","25.0",".",".",".","75.0",".",".",".","."
"","990
004","1","",".",".",".",".","",".","",".",".","100.0",".",".",".",".",".",".",".","."
"","990
005","2","",".",".",".",".","",".","",".",".","50.0",".",".",".",".","50.0",".",".","."
"","990
017","3","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","990
025","6","",".",".",".",".","",".","",".",".","16.7",".",".",".","83.3",".",".",".","."
"","990
027","13","",".",".",".",".","",".","",".",".","23.1",".",".",".","76.9",".",".",".","."
"","990
028","4","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","990
029","2","",".",".",".",".","",".","",".",".","100.0",".",".",".",".",".",".",".","."
"Research or Thesis","Course Total","35","",".",".",".",".","",".","",".",".","25.7",".",".",".","71.4","2.9",".",".","."
"","999
005","2","4.000","50.0",".",".",".","",".","",".",".",".",".",".",".",".","50.0",".",".","."
"","999
027","3","4.000","66.7",".",".",".","",".","",".",".",".",".",".",".","33.3",".",".",".","."
"","999
029","3","4.000","66.7",".",".",".","",".","",".",".",".",".",".",".",".",".","33.3",".","."
"Independent Reading","Course Total","8","4.000","62.5",".",".",".","",".","",".",".",".",".",".",".","12.5","12.5","12.5",".","."
"270
COUN PSY","Dept. Total","542","3.781","62.7","16.1","3.5","1.1","",".","",".","0.7","1.8",".","3.0",".","4.8","4.4","0.7","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","74","3.880","82.4","12.2","2.7","1.4","",".","",".",".",".",".",".",".",".",".","1.4",".","."
"Sophomore","","63","3.831","84.1","7.9","4.8",".","",".","",".","1.6",".",".",".",".",".",".",".","1.6","."
"Junior","","70","3.557","61.4","21.4","11.4","2.9","",".","",".","1.4",".",".",".",".",".",".","1.4",".","."
"Senior","","103","3.607","46.6","41.7","3.9","2.9","",".","",".","1.0",".",".",".",".",".","1.9","1.0","1.0","."
"Undergraduates","","310","3.660","66.1","23.2","5.5","1.9","",".","",".","1.0",".",".",".",".",".","0.6","1.0","0.6","."
"Special","","15","3.500","66.7","6.7",".",".","",".","",".","6.7","6.7",".",".",".",".","6.7","6.7",".","."
"Graduate","","216","3.944","57.9","6.0","0.9",".","",".","",".",".","4.2",".","7.4",".","12.0","9.7",".","0.5","."
"Prof Yr 1","","1","3.500",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","542","3.781","62.7","16.1","3.5","1.1","",".","",".","0.7","1.8",".","3.0",".","4.8","4.4","0.7","0.6","."
