"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","N","NR","Other"
"942
THEATRE","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"","170","001 308","","3","3.350",".","66.7","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Fundamentals of Stagecraft","","Course Total","","27","3.376","22.2","40.7","22.2","7.4",".","3.7",".",".","",".",".","",".","",".","3.7",".",".","."
"","200","001","","16","3.321","37.5",".","37.5","6.3","6.3",".",".",".","",".",".","",".","",".","12.5",".",".","."
"","200","002","","12","3.556","33.3","25.0","8.3","8.3",".",".",".",".","",".",".","",".","",".","25.0",".",".","."
"Writing-Theatre&Performance","","Course Total","","28","3.413","35.7","10.7","25.0","7.1","3.6",".",".",".","",".",".","",".","",".","17.9",".",".","."
"Wrld Theatre & Drama to 18c","221","001","","68","3.500","52.9","16.2","16.2","4.4","4.4","1.5","1.5","2.9","",".",".","",".","",".",".",".",".","."
"Intermediate Voice Training","240","001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Fundamentals of Acting","250","001","","17","3.882","94.1",".",".",".","5.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","299","006","","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".","100.0",".",".","."
"Fundamentals-Movemnt for Stage","342","002","","15","3.867","80.0","13.3","6.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Acting Realism","350","001","","6","3.417","33.3","16.7","50.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Fund-Asian Stage Discipline","351","001","","6","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Javanese Performance","353","001","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Backstage Laboratory II","361","001","","20","3.840","70.0","20.0","5.0",".",".",".",".",".","",".",".","",".","",".","5.0",".",".","."
"","362","001","","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","362","002","","8","3.938","87.5","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","362","003","","6","3.667","50.0","33.3","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","362","004","","6","3.917","83.3","16.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","362","005","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","362","006","","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Drama in Education","","Course Total","","31","3.903","83.9","12.9","3.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363","001","","20","3.582","25.0","65.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","366","001 303","","6","3.421","50.0","33.3",".",".","16.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","366","001 302","","6","3.300","16.7","33.3","16.7","16.7",".",".",".",".","",".",".","",".","",".",".",".",".","16.7"
"","366","001 301","","6","3.553","33.3","50.0","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Stage Lighting I","","Course Total","","18","3.434","33.3","38.9","11.1","5.6","5.6",".",".",".","",".",".","",".","",".",".",".",".","5.6"
"Fundamentals of Directing","368","001","","20","3.525","25.0","60.0","10.0","5.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Drafting for the Theatre","370","001","","10","3.212","30.0","10.0","20.0","10.0",".","10.0",".",".","",".",".","",".","",".","20.0",".",".","."
"Stage Management","379","001","","10","3.611","30.0","50.0","10.0",".",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"Interdis Studies in the Arts","469","001","","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Survey: Theories of Drama","520","001","","21","3.595","42.9","42.9","9.5",".","4.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Modern Amer Drama & Theatre","535","001","","26","3.640","53.8","23.1","11.5","7.7",".",".",".",".","",".",".","",".","",".","3.8",".",".","."
"Acting Shakespeare","541","001","","16","3.609","50.0","25.0","12.5","12.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Lightng Design-Architecture","560","001","","3","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Backstage Laboratory III","561","001","","43","3.940","83.7","9.3",".",".",".",".",".",".","",".",".","",".","",".","7.0",".",".","."
"Specl Topics-Theatre&Drama","619","001 301","","11","3.727","63.6","18.2","18.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Adv Study-Theatre Dsgn&Tech","670","001","","6","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","006","","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","008","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","","Course Total","","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prosem: Intro Rsch-Theatre","700","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Voice Training","740","001","","9","4.000","77.8",".",".",".",".",".",".",".","",".",".","",".","",".","22.2",".",".","."
"Graduate Acting","750","001","","9","4.000","77.8",".",".",".",".",".",".",".","",".",".","",".","",".","22.2",".",".","."
"Independent Study","799","017","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
