"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"224
CHEM","","Grades","GPA","","","","","","","","","","","","","","","",""
"","103
003 343 6","20","3.200","45.0",".","25.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","330","2.998","22.4","12.1","34.8","8.8","16.7","3.0","1.5",".",".",".",".",".",".",".","0.6","."
"","103
004 365 6","22","2.864","22.7",".","36.4","9.1","22.7","9.1",".",".",".",".",".",".",".",".",".","."
"","103
004 361 6","20","3.350","35.0","25.0","25.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","103
004 364 6","21","3.000","23.8","19.0","28.6","9.5","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"","103
004 366 6","21","2.762","19.0",".","33.3","28.6","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"","103
004 367 6","22","3.068","31.8","13.6","22.7",".","27.3","4.5",".",".",".",".",".",".",".",".",".","."
"","103
004 368 6","19","2.842","21.1","5.3","26.3","15.8","31.6",".",".",".",".",".",".",".",".",".",".","."
"","103
004 362 6","21","2.929","23.8","23.8","19.0",".","28.6",".","4.8",".",".",".",".",".",".",".",".","."
"","103
004 363 6","22","2.636","4.5","13.6","40.9","4.5","31.8",".","4.5",".",".",".",".",".",".",".",".","."
"","Section Total","168","2.929","22.6","12.5","29.2","8.9","21.4","3.0","2.4",".",".",".",".",".",".",".",".","."
"","103
005 392 6","20","3.075","30.0","20.0","25.0","5.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"","103
005 387 6","19","3.132","31.6","26.3","15.8","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","103
005 386 6","22","2.477","22.7",".","18.2","4.5","45.5",".","9.1",".",".",".",".",".",".",".",".","."
"","103
005 388 6","20","2.775","15.0",".","55.0","5.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","103
005 384 6","23","3.065","34.8","13.0","26.1",".","17.4","4.3","4.3",".",".",".",".",".",".",".",".","."
"","103
005 391 6","19","3.158","31.6","5.3","36.8","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"","103
005 389 6","22","2.810","9.1","9.1","50.0","9.1","13.6",".","4.5",".",".",".",".",".","4.5",".",".","."
"","103
005 381 6","23","3.109","21.7","13.0","43.5","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"","103
005 382 6","23","3.348","43.5","13.0","26.1","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","103
005 383 6","23","3.087","21.7","21.7","30.4","4.3","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"","103
005 385 6","23","3.043","30.4","13.0","21.7","4.3","30.4",".",".",".",".",".",".",".",".",".",".","."
"","103
005 390 6","22","3.091","22.7","18.2","31.8","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","Section Total","259","3.016","26.3","12.7","31.7","6.6","17.0","2.7","2.7",".",".",".",".",".","0.4",".",".","."
"General Chemistry","Course Total","1460","3.010","22.7","15.7","28.8","12.3","16.2","2.5","1.6",".",".",".",".",".","0.1","0.1","0.1","."
"","104
001 411 7","21","2.929","4.8","23.8","42.9","9.5","19.0",".",".",".",".",".",".",".",".",".",".","."
"","104
001 416 7","22","3.132","18.2","18.2","27.3","13.6","9.1",".",".",".",".",".",".",".","9.1",".","4.5","."
"","104
001 414 7","16","2.906","6.3","25.0","31.3","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"","104
001 409 7","16","2.844","18.8","6.3","31.3","12.5","18.8","12.5",".",".",".",".",".",".",".",".",".","."
"","104
001 405 7","16","3.267","25.0","18.8","31.3","18.8",".",".",".",".",".",".",".",".",".",".","6.3","."
"","104
001 404 7","20","2.850","15.0","25.0","20.0","15.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","104
001 403 7","19","3.211","31.6","5.3","47.4","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","104
001 401 7","19","3.263","31.6","21.1","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"","104
001 407 7","20","3.250","35.0","20.0","15.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","104
001 406 7","15","3.233","33.3","6.7","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","104
001 402 7","16","3.063","6.3","25.0","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","104
001 408 7","18","2.944","11.1","5.6","50.0","27.8","5.6",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","218","3.072","19.7","17.0","33.5","15.6","10.6","1.4","0.5",".",".",".",".",".","0.9",".","0.9","."
"","104
002 426 7","20","2.675","15.0","10.0","35.0","15.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","104
002 421 7","18","3.139","22.2","5.6","61.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","104
002 427 7","21","3.214","28.6","9.5","42.9","14.3",".","4.8",".",".",".",".",".",".",".",".",".","."
"","104
002 424 7","10","3.250","30.0","10.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","104
002 428 7","14","2.929","35.7","14.3","21.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"","104
002 423 7","15","3.033","26.7",".","40.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","104
002 422 7","15","2.667","13.3","6.7","33.3","20.0","20.0",".","6.7",".",".",".",".",".",".",".",".","."
"","104
002 425 7","17","3.147","29.4","11.8","29.4","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","Section Total","130","3.000","24.6","8.5","39.2","13.1","7.7","3.1","3.8",".",".",".",".",".",".",".",".","."
"General Chemistry","Course Total","348","3.045","21.6","13.8","35.6","14.7","9.5","2.0","1.7",".",".",".",".",".","0.6",".","0.6","."
"","108
001 484 7","21","3.429","38.1","23.8","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 179 of 441",""
