"ALS","","","","","","","","","","","","","","","","","","","","","","","",""
"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"120
L SC COM","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","699
012","","3","4.000","66.7",".","",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"","699
020","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
021","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
025","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
026","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
031","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
037","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
038","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
039","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","4.000","76.9",".","",".",".","",".","",".","",".",".",".",".",".",".","23.1",".",".","."
"Intro-Communication Thry&Rsch","720
001","","13","3.692","46.2","46.2","","7.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Concep&Design-Mass Com Rsch","806
001","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Colloquium:Mass Communicatn","901
001","","1","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","990
004","","2","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
020","","5","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
035","","2","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","","10","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
020","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
026","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Research","Course Total","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"120
L SC COM","Dept. Total","","404","3.591","48.3","27.5","","14.1","2.0","","2.2","","0.7","","0.2","3.0",".","0.2",".",".","1.5","0.2",".","."
