"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","N","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"101","001 310","","15","2.893","20.0","26.7",".","33.3","6.7",".","6.7",".","",".",".","",".","",".","6.7",".",".","."
"101","001 304","","23","2.841","8.7","17.4","21.7","30.4","8.7","8.7",".",".","",".",".","",".","",".","4.3",".",".","."
"101","001 305","","22","2.727","4.5","18.2","22.7","27.3","18.2","9.1",".",".","",".",".","",".","",".",".",".",".","."
"101","001 306","","22","3.125","31.8","13.6","22.7","9.1","9.1",".","4.5","4.5","",".",".","",".","",".","4.5",".",".","."
"101","001 307","","23","2.909","17.4","13.0","26.1","13.0","13.0","13.0",".","4.3","",".",".","",".","",".",".",".",".","."
"101","001 303","","22","2.500","9.1","9.1","13.6","22.7","27.3","9.1","4.5",".","",".",".","",".","",".","4.5",".",".","."
"101","001 309","","20","2.650","5.0","10.0","30.0","20.0","35.0",".",".",".","",".",".","",".","",".",".",".",".","."
"101","001 302","","22","2.591","4.5","9.1","22.7","27.3","18.2","18.2",".",".","",".",".","",".","",".",".",".",".","."
"101","001 311","","18","2.167",".","5.6","5.6","27.8","33.3","22.2","5.6",".","",".",".","",".","",".",".",".",".","."
"101","001 312","","21","2.595","19.0",".","19.0","23.8","28.6","4.8","4.8",".","",".",".","",".","",".",".",".",".","."
"101","001 313","","20","2.868","15.0","25.0","20.0","10.0","20.0",".","5.0",".","",".",".","",".","",".","5.0",".",".","."
"101","001 314","","21","2.905",".","38.1","23.8","19.0","14.3","4.8",".",".","",".",".","",".","",".",".",".",".","."
"101","001 315","","23","2.674","8.7","21.7","21.7","8.7","21.7","13.0","4.3",".","",".",".","",".","",".",".",".",".","."
"101","001 308","","23","2.783","4.3","30.4","21.7","4.3","30.4","8.7",".",".","",".",".","",".","",".",".",".",".","."
"101","001 316","","22","2.750","9.1","13.6","36.4","18.2","13.6","4.5","4.5",".","",".",".","",".","",".",".",".",".","."
"101","001 317","","21","2.714","23.8","4.8","19.0","14.3","28.6","4.8","4.8",".","",".",".","",".","",".",".",".",".","."
"101","001 301","","23","2.643","13.0","8.7","17.4","39.1","4.3",".","8.7","4.3","",".",".","",".","",".","4.3",".",".","."
"","Section Total","","361","2.726","11.4","15.5","20.8","20.2","19.4","7.2","3.0","0.8","",".",".","",".","",".","1.7",".",".","."
"101","002 330","","22","3.159","31.8","9.1","27.3","22.7","9.1",".",".",".","",".",".","",".","",".",".",".",".","."
"101","002 329","","23","2.932","13.0","13.0","34.8","17.4","17.4",".",".",".","",".",".","",".","",".","4.3",".",".","."
"101","002 328","","24","2.792","20.8","8.3","25.0","16.7","16.7","8.3","4.2",".","",".",".","",".","",".",".",".",".","."
"101","002 332","","24","2.938","20.8","8.3","29.2","20.8","16.7","4.2",".",".","",".",".","",".","",".",".",".",".","."
"101","002 339","","24","2.729","8.3","12.5","29.2","16.7","25.0","8.3",".",".","",".",".","",".","",".",".",".",".","."
"101","002 340","","23","3.109","21.7","13.0","39.1","17.4","8.7",".",".",".","",".",".","",".","",".",".",".",".","."
"101","002 334","","24","2.688","8.3","20.8","25.0","8.3","29.2","4.2","4.2",".","",".",".","",".","",".",".",".",".","."
"101","002 331","","24","3.208","29.2","25.0","20.8","8.3","16.7",".",".",".","",".",".","",".","",".",".",".",".","."
"101","002 335","","22","3.068","22.7","27.3","18.2","4.5","27.3",".",".",".","",".",".","",".","",".",".",".",".","."
"101","002 344","","22","2.909","22.7","9.1","40.9",".","18.2","4.5","4.5",".","",".",".","",".","",".",".",".",".","."
"101","002 336","","24","2.750","16.7","8.3","29.2","16.7","20.8","4.2","4.2",".","",".",".","",".","",".",".",".",".","."
"101","002 342","","23","2.891","17.4","8.7","30.4","21.7","21.7",".",".",".","",".",".","",".","",".",".",".",".","."
