"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"820
PSYCH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","210
006 322","16","3.031","37.5","6.3","18.8",".","31.3","6.3",".",".",".",".",".",".",".",".",".","."
"","210
006 323","16","2.781","25.0",".","37.5","6.3","12.5","12.5","6.3",".",".",".",".",".",".",".",".","."
"","210
006 324","17","2.559","11.8","11.8","11.8","29.4","29.4",".","5.9",".",".",".",".",".",".",".",".","."
"","Section Total","67","2.769","20.9","9.0","20.9","13.4","28.4","4.5","3.0",".",".",".",".",".",".",".",".","."
"Psychometric Methods","Course Total","314","2.703","19.4","8.6","19.1","12.7","28.0","6.1","4.1",".",".",".",".",".","1.6",".","0.3","."
"","225
001 303 6","8","2.750","12.5","12.5","25.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".","."
"","225
001 306 6","8","2.500","12.5",".","12.5","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".","."
"","225
001 304 6","8","2.625",".","37.5","25.0","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","225
001 302 6","7","2.429","14.3",".","14.3",".","71.4",".",".",".",".",".",".",".",".",".",".","."
"","225
001 301 6","7","2.857","28.6",".","28.6",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"","225
001 305 6","8","2.750","25.0",".","25.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","46","2.652","15.2","8.7","21.7","8.7","41.3","2.2","2.2",".",".",".",".",".",".",".",".","."
"","225
002 308 6","8","2.813","12.5","12.5","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","225
002 310 6","5","2.625",".",".","40.0","20.0","20.0",".",".",".",".",".",".",".","20.0",".",".","."
"","225
002 309 6","7","2.786","14.3",".","42.9","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","225
002 312 6","7","2.214",".",".","14.3","14.3","71.4",".",".",".",".",".",".",".",".",".",".","."
"","225
002 307 6","4","2.500",".",".","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","225
002 311 6","8","2.563",".","12.5","25.0","25.0","37.5",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","39","2.592","5.1","5.1","28.2","23.1","33.3","2.6",".",".",".",".",".",".","2.6",".",".","."
"","225
003 317 6","8","2.625","12.5",".","37.5",".","37.5","12.5",".",".",".",".",".",".",".",".",".","."
"","225
003 315 6","7","2.429",".",".","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".","."
"","225
003 318 6","7","2.214","14.3",".","14.3","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".","."
"","225
003 313 6","7","2.500","14.3",".","14.3","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".","."
"","225
003 316 6","8","3.438","50.0","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","225
003 314 6","8","3.063","12.5","25.0","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","45","2.733","17.8","6.7","26.7","11.1","28.9","6.7","2.2",".",".",".",".",".",".",".",".","."
"","225
004 324 6","8","1.938",".",".","12.5","12.5","62.5",".","12.5",".",".",".",".",".",".",".",".","."
"","225
004 322 6","8","3.125","12.5","12.5","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","225
004 321 6","8","2.643","12.5",".","25.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".","12.5","."
"","225
004 323 6","8","2.688","25.0","12.5",".",".","62.5",".",".",".",".",".",".",".",".",".",".","."
"","225
004 320 6","7","2.429",".",".","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".","."
"","225
004 319 6","6","2.917",".","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","45","2.614","8.9","6.7","28.9","15.6","33.3","2.2","2.2",".",".",".",".",".",".",".","2.2","."
"","225
005 328 6","7","3.000","14.3","14.3","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"","225
005 330 6","8","2.563","12.5","12.5",".","25.0","50.0",".",".",".",".",".",".",".",".",".",".","."
"","225
005 327 6","4","2.667","25.0",".",".",".","25.0","25.0",".",".",".",".",".",".","25.0",".",".","."
"","225
005 329 6","8","3.000","25.0",".","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","225
005 326 6","4","2.375",".","25.0",".",".","75.0",".",".",".",".",".",".",".",".",".",".","."
"","225
005 325 6","8","2.563","25.0",".","25.0","12.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".","."
"","Section Total","39","2.724","17.9","7.7","23.1","10.3","28.2","7.7","2.6",".",".",".",".",".","2.6",".",".","."
"Experimental Psychology","Course Total","214","2.664","13.1","7.0","25.7","13.6","33.2","4.2","1.9",".",".",".",".",".","0.9",".","0.5","."
"Honors Crse-Intro to Psych","281
001","20","3.725","65.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
001 304","2","3.250","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
001 303","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
001 302","3","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","Course Total","6","3.000","33.3",".",".","66.7",".",".",".",".",".",".",".",".",".",".",".","."
"","386
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 320 of 441",""
