"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"664
MUS PERF","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","101
001","","10","3.850","80.0","10.0","10.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","9","3.929","66.7","11.1",".",".",".","",".",".",".",".",".",".",".","22.2",".",".","."
"","101
003","","7","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","26","3.917","80.8","7.7","3.8",".",".","",".",".",".",".",".",".",".","7.7",".",".","."
"","102
001","","4","3.750","75.0",".","25.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","8","2.857","37.5","12.5",".","12.5","12.5","",".","12.5",".",".",".",".",".","12.5",".",".","."
"Beginning Class Piano","Course Total","","12","3.182","50.0","8.3","8.3","8.3","8.3","",".","8.3",".",".",".",".",".","8.3",".",".","."
"","103
001","","6","3.800","66.7",".","16.7",".",".","",".",".",".",".",".",".",".","16.7",".",".","."
"","103
002","","7","3.714","57.1","28.6","14.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","13","3.750","61.5","15.4","15.4",".",".","",".",".",".",".",".",".",".","7.7",".",".","."
"Intermediate Class Piano","104
001","","7","3.643","71.4",".","14.3","14.3",".","",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Single Reeds","14
001","","5","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","13","3.692","92.3",".",".",".",".","",".","7.7",".",".",".",".",".",".",".",".","."
"First Year Composition","147
001","","12","3.500","33.3","41.7","16.7","8.3",".","",".",".",".",".",".",".",".",".",".",".","."
"","201
003","","5","3.400","20.0","60.0",".","20.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","201
029","","2","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","201
048","","6","3.000",".","50.0","16.7","16.7","16.7","",".",".",".",".",".",".",".",".",".",".","."
"","201
250","","3","3.167",".","33.3","66.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","201
251","","4","3.556","25.0","50.0","25.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","201
252","","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","201
253","","6","3.750","66.7","16.7","16.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","201
254","","3","4.000","66.7",".",".",".",".","",".",".",".",".",".",".",".","33.3",".",".","."
"Elem/Intmed Piano","Course Total","","32","3.516","37.5","34.4","15.6","6.3","3.1","",".",".",".",".",".",".",".","3.1",".",".","."
"Elem/Intermed Harpsichard","202
042","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Organ","203
042","","5","3.636","40.0","40.0","20.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","205
006","","5","3.700","40.0","60.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","205
061","","5","3.900","80.0","20.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","205
062","","7","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","205
269","","8","3.714","62.5",".","25.0",".",".","",".",".",".",".",".",".",".",".",".","12.5","."
"","205
270","","4","3.875","75.0","25.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","29","3.847","72.4","17.2","6.9",".",".","",".",".",".",".",".",".",".",".",".","3.4","."
"Elem/Intmed Flute","207
010","","7","3.643","42.9","42.9","14.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","7","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
005","","5","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213
050","","8","3.667","37.5","37.5","12.5",".",".","",".",".",".",".",".",".",".","12.5",".",".","."
"Elem/Intmed Bassoon","215
032","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Horn","217
020","","5","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219
063","","4","3.875","75.0","25.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221
089","","2","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Euphonium","223
035","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Tuba","225
035","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Percussion","227
033","","4","3.833","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","231
009","","6","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","231
025","","5","3.900","60.0","20.0",".",".",".","",".",".",".",".",".",".",".","20.0",".",".","."
"","231
083","","4","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
