"MEDICAL SCIENCES","","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","N","NR","Other"
"623
MED SC-V","","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","",""
"Vet Diag&Therapeut Techniq","625","001","81
4.000","90.1",".","",".",".","",".","",".","",".","9.9","",".",".","",".",".","",".",".",".","."
"Companion Animal&Equine Med I","632","001","81
3.099","13.6","19.8","50.6","","4.9","","9.9","","1.2","",".",".","",".",".","",".",".","",".",".",".","."
"Food Animal Medicine","634","001","81
3.210","13.6","25.9","53.1","","3.7","","3.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Small Animal Neurology","667","001","13
4.000","53.8",".","",".",".","",".","",".","",".","46.2","",".",".","",".",".","",".",".",".","."
"Clin Dermatology Rotation","668","001","22
4.000","77.3",".","",".",".","",".","",".","",".","22.7","",".",".","",".",".","",".",".",".","."
"Small Anml Cardiolgy Rotatn","669","001","19
4.000","36.8",".","",".",".","",".","",".","",".","63.2","",".",".","",".",".","",".",".",".","."
"","670","001","43
4.000","7.0",".","",".",".","",".","",".","",".","93.0","",".",".","",".",".","",".",".",".","."
"","670","002","2
4.000","50.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","50.0","."
"Sr Rotation:Lrge Animal Med","","Course Total","45
4.000","8.9",".","",".",".","",".","",".","",".","88.9","",".",".","",".",".","",".",".","2.2","."
"Sr Rotation:Theriogenology","672","001","36
4.000","38.9",".","",".",".","",".","",".","",".","61.1","",".",".","",".",".","",".",".",".","."
"Sr Rotation:Ambulatory Serv","674","001","24
4.000","8.3",".","",".",".","",".","",".","",".","45.8","",".",".","",".",".","45.8","",".",".","."
"","675","001","8",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","675","002","26
4.000","30.8",".","",".",".","",".","",".","",".","69.2","",".",".","",".",".","",".",".",".","."
"","675","003","13",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","675","005","46",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","675","006","68",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","675","007","84",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"Special Topics","","Course Total","245
4.000","3.3",".","",".",".","",".","",".","",".","34.7","",".",".","",".","62.0","",".",".",".","."
"","678","001","43
4.000","39.5",".","",".",".","",".","",".","",".","60.5","",".",".","",".",".","",".",".",".","."
"","678","002","6",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Small Animal Internal Med","","Course Total","49
4.000","34.7",".","",".",".","",".","",".","",".","65.3","",".",".","",".",".","",".",".",".","."
"Small Animal Oncology","679","001","18
4.000","44.4",".","",".",".","",".","",".","",".","55.6","",".",".","",".",".","",".",".",".","."
"","699","007","2",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","699","010","7
4.000","28.6",".","",".",".","",".","",".","",".","71.4","",".",".","",".",".","",".",".",".","."
"","699","021","2",".",".","",".",".","",".","",".","",".","50.0","",".",".","",".",".","",".",".","50.0","."
"","699","026","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","699","028","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Directed Study","","Course Total","13
4.000","15.4",".","",".",".","",".","",".","",".","76.9","",".",".","",".",".","",".",".","7.7","."
"Production Medicine I","701","001","4
4.000","25.0",".","",".",".","",".","",".","",".","75.0","",".",".","",".",".","",".",".",".","."
"Production Medicine II","703","001","3
4.000","66.7",".","",".",".","",".","",".","",".","33.3","",".",".","",".",".","",".",".",".","."
"Prod Med III-Appl Dy Nutr","705","001","3
4.000","33.3",".","",".",".","",".","",".","",".","66.7","",".",".","",".",".","",".",".",".","."
"","775","002","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","003","3",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","004","2",".",".","",".",".","",".","",".","",".","50.0","",".",".","",".",".","",".",".","50.0","."
"","775","008","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","010","2",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","012","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","015","3",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","016","3",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","021","2",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","022","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","023","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","024","2",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","026","3",".",".","",".",".","",".","",".","",".","66.7","",".",".","",".",".","",".",".","33.3","."
"","775","028","6",".",".","",".",".","",".","",".","",".","83.3","",".",".","",".",".","",".",".","16.7","."
"","775","030","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","775","032","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","","","Page 432 of 441",""
