"CIVIL AND ENVIRONMENTAL EN","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"240
CIV ENGR","","Grades
GPA","","","","","","","","","","","","","","","","","","","","",""
"","790
029","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
031","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
038","5",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
039","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
045","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
051","5",".",".","",".",".","",".","",".","",".","20.0",".",".",".","80.0","",".",".",".","."
"","790
053","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
054","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
055","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
058","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
059","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
061","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
062","6",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
063","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
064","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
066","5",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
067","3",".",".","",".",".","",".","",".","",".","33.3",".",".",".","66.7","",".",".",".","."
"","790
069","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
071","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Master's Research or Thesis","Course Total","53",".",".","",".",".","",".","",".","",".","32.1",".",".",".","67.9","",".",".",".","."
"Theory of Water Waves","811
001","8
3.750","62.5","25.0","","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Envir Engr:Biologic Treatmt","821
001 301","7
3.429","42.9","14.3","","28.6","14.3","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","890
010","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
029","6",".",".","",".",".","",".","",".","",".","16.7",".",".",".","83.3","",".",".",".","."
"","890
031","4",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
038","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
039","5",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
045","1",".",".","",".",".","",".","",".","",".",".","100.0",".",".",".","",".",".",".","."
"","890
051","4",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
053","6",".",".","",".",".","",".","",".","",".","33.3",".",".",".","66.7","",".",".",".","."
"","890
054","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","890
055","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","890
057","4",".",".","",".",".","",".","",".","",".","25.0",".",".",".","75.0","",".",".",".","."
"","890
058","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","890
059","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
061","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","890
062","4",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
063","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
064","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
066","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
067","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
069","3",".",".","",".",".","",".","",".","",".",".","33.3",".",".","66.7","",".",".",".","."
"Pre-Dissertator's Research","Course Total","58",".",".","",".",".","",".","",".","",".","19.0","3.4",".",".","77.6","",".",".",".","."
"Smr-Water Chemistry Rsch","909
001","15",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Hydraulic Engr & Fluid Mech","919
001","7
3.875","42.9","14.3","",".",".","",".","",".","",".","42.9",".",".",".",".","",".",".",".","."
"Seminar-Envir Engineering","929
001","24
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Envr Monitoring Seminar","950
001","4
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar-Geospatial Info Engr","951
001","7
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","Page 112 of 441",""
