"","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"TERM: 1032","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"","Grand Total","152869","3.261","34.4","19.6","20.0","7.4","7.4","1.8","1.1","3.5","0.0","1.5","0.0","1.6","1.2","0.2","0.2","0.1"
"University of Madison","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","21540","3.114","28.6","20.7","22.6","9.2","11.2","2.6","1.8","0.0",".","2.4","0.0",".","0.5","0.1","0.1","0.2"
"Sophomore","","28215","3.099","28.0","20.0","24.3","10.0","11.1","3.0","1.7","0.3","0.0","0.7","0.0",".","0.6","0.2","0.1","0.2"
"Junior","","31164","3.176","30.5","21.0","24.0","9.4","9.0","2.2","1.4","0.6","0.0","0.5",".","0.0","0.8","0.2","0.1","0.1"
"Senior","","38353","3.326","37.4","21.2","19.8","7.2","6.6","1.6","0.8","1.6","0.0","1.6","0.0","0.4","1.3","0.2","0.1","0.0"
"Undergraduates","","119272","3.190","31.8","20.8","22.5","8.8","9.1","2.3","1.3","0.8","0.0","1.3","0.0","0.1","0.9","0.2","0.1","0.1"
"Special","","2521","3.427","36.7","14.0","13.4","4.0","4.1","0.6","1.1","10.9","0.0","4.3","0.1","0.1","3.1","0.8","2.8","3.3"
"Graduate","","23169","3.728","47.7","15.2","8.0","1.1","0.5","0.0","0.1","15.5","0.1","2.0","0.0","6.6","2.5","0.1","0.2","0.0"
"Prof Yr 1","","1930","3.378","29.8","19.1","21.7","6.9","4.5","0.9",".","2.7",".","0.2","0.1","11.2","0.8",".","0.3","."
"Prof Yr 2","","2639","3.363","30.5","17.1","23.9","5.5","4.7","0.5","0.1","0.5",".","6.4","0.0","10.1","0.3","0.1","0.1","."
"Prof Yr 3","","1928","3.328","28.5","17.9","23.5","6.3","2.7","0.4",".","5.0","0.1","3.8",".","10.7","0.7","0.1","0.2","0.1"
"Prof Yr 4","","1410","3.873","52.4","11.1","2.9","0.1",".","0.1",".","28.0",".",".",".",".","2.4",".","2.7","0.2"
"Professionals","","7907","3.456","33.8","16.7","19.5","5.1","3.3","0.5","0.0","7.0","0.0","3.1","0.0","8.7","0.9","0.0","0.6","0.1"
"University Total","","152869","3.261","34.4","19.6","20.0","7.4","7.4","1.8","1.1","3.5","0.0","1.5","0.0","1.6","1.2","0.2","0.2","0.1"
