"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"232
ACCT I S","","Grades","GPA","","","","","","","","","","","","","","","",""
"","100
001","35","3.016","22.9","5.7","34.3","2.9","11.4","11.4",".",".",".",".",".",".","11.4",".",".","."
"","100
002","25","2.600","8.0","4.0","44.0","4.0","20.0","16.0","4.0",".",".",".",".",".",".",".",".","."
"","100
003","39","2.756","12.8","5.1","46.2","2.6","28.2","2.6","2.6",".",".",".",".",".",".",".",".","."
"","100
004","19","3.105","26.3","5.3","47.4","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","100
005","43","2.833","16.3","9.3","41.9","4.7","18.6","2.3","4.7",".",".",".",".",".","2.3",".",".","."
"","100
006","23","3.109","17.4","17.4","47.8","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"","100
007","41","2.890","22.0","7.3","39.0",".","17.1","12.2","2.4",".",".",".",".",".",".",".",".","."
"","100
008","27","2.944","11.1","11.1","55.6",".","18.5","3.7",".",".",".",".",".",".",".",".",".","."
"","100
009","42","3.012","14.3","9.5","57.1","2.4","11.9","4.8",".",".",".",".",".",".",".",".",".","."
"","100
010","25","3.000","20.0","8.0","48.0",".","20.0","4.0",".",".",".",".",".",".",".",".",".","."
"","100
011","40","3.064","20.0","7.5","52.5",".","17.5",".",".",".",".",".",".",".",".","2.5",".","."
"","100
012","37","2.729","8.1","2.7","51.4","5.4","18.9","5.4","2.7","2.7","2.7",".",".",".",".",".",".","."
"","100
013","38","3.189","21.1","15.8","47.4","5.3","7.9",".",".",".",".",".",".",".","2.6",".",".","."
"","100
014","32","2.952","18.8","3.1","46.9","6.3","12.5","9.4",".",".",".",".",".",".","3.1",".",".","."
"","100
015","42","3.024","28.6",".","42.9",".","16.7","9.5",".",".",".",".",".",".","2.4",".",".","."
"Intro Financial Accounting","Course Total","508","2.945","17.9","7.3","46.7","2.8","16.3","5.7","1.2","0.2","0.2",".",".",".","1.6","0.2",".","."
"","211
001","23","3.326","30.4","26.1","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","211
002","26","3.154","23.1","23.1","34.6",".","19.2",".",".",".",".",".",".",".",".",".",".","."
"","211
003","15","3.233","33.3",".","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","211
004","27","3.259","14.8","37.0","37.0","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","211
005","22","3.091","22.7","9.1","40.9","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","211
006","37","3.243","27.0","16.2","51.4",".","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"","211
007","37","3.108","21.6","16.2","40.5","5.4","13.5","2.7",".",".",".",".",".",".",".",".",".","."
"","211
008","37","3.378","32.4","29.7","27.0","2.7","8.1",".",".",".",".",".",".",".",".",".",".","."
"","211
009","36","3.278","25.0","16.7","50.0","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"","211
010","30","3.083","26.7","10.0","33.3","13.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","211
011","40","3.275","27.5","25.0","32.5","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","330","3.226","25.8","20.0","38.2","7.0","8.5","0.3","0.3",".",".",".",".",".",".",".",".","."
"","300
001","28","3.179","32.1","7.1","39.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","300
002","35","3.309","37.1","20.0","17.1","11.4","8.6","2.9",".","2.9",".",".",".",".",".",".",".","."
"","300
003","43","3.244","27.9","20.9","30.2","14.0","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"","300
004","43","3.128","16.3","25.6","41.9","9.3","4.7",".","2.3",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","149","3.213","27.5","19.5","32.2","10.7","6.0","2.7","0.7","0.7",".",".",".",".",".",".",".","."
"","301
001","42","3.298","26.2","38.1","14.3","11.9","9.5",".",".",".",".",".",".",".",".",".",".","."
"","301
002","35","3.243","25.7","22.9","31.4","14.3","5.7",".",".",".",".",".",".",".",".",".",".","."
"","301
003","40","3.150","20.0","27.5","22.5","22.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"","301
004","46","3.326","28.3","34.8","17.4","13.0","6.5",".",".",".",".",".",".",".",".",".",".","."
"","301
005","33","3.182","27.3","18.2","30.3","12.1","12.1",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","196","3.245","25.5","29.1","22.4","14.8","8.2",".",".",".",".",".",".",".",".",".",".","."
"","302
001","30","2.983","20.0",".","50.0","16.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","302
003","37","3.176","24.3","13.5","43.2","10.8","8.1",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","67","3.090","22.4","7.5","46.3","13.4","10.4",".",".",".",".",".",".",".",".",".",".","."
"","310
001","19","3.053","10.5","21.1","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"","310
002","41","3.159","19.5","14.6","51.2","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","60","3.125","16.7","16.7","48.3","11.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","41","2.756","17.1",".","43.9","4.9","29.3","2.4","2.4",".",".",".",".",".",".",".",".","."
"","340
001","36","3.306","8.3","58.3","22.2","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"","340
002","37","3.527","24.3","56.8","18.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 49 of 441",""
