"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"600
MATH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","990
146","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Reading and Research","Course Total","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"600
MATH","Dept. Total","7236","2.830","24.8","11.3","22.1","10.3","18.7","6.1","4.5","0.6","0.0","0.9",".","0.0","0.4","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3077","2.813","22.2","10.5","23.8","10.5","21.2","5.7","4.1",".",".","1.6",".",".","0.3","0.1","0.0","0.0"
"Sophomore","","2100","2.723","19.5","12.0","23.6","11.0","19.8","7.6","5.3",".",".","0.4",".",".","0.4","0.2","0.0","."
"Junior","","983","2.725","21.0","12.5","21.2","12.5","18.1","6.9","6.5","0.2","0.1","0.3",".",".","0.4",".","0.1","0.2"
"Senior","","564","2.840","24.5","12.4","21.1","11.2","17.7","7.1","4.6","0.5",".",".",".","0.2","0.4",".","0.4","."
"Undergraduates","","6724","2.777","21.4","11.4","23.1","11.0","20.0","6.6","4.8","0.1","0.0","0.9",".","0.0","0.4","0.1","0.1","0.0"
"Special","","55","3.231","38.2","12.7","23.6","3.6","7.3",".","3.6","3.6",".",".",".",".","5.5",".","1.8","."
"Graduate","","457","3.825","74.2","8.8","6.6","1.3","1.1","0.2",".","7.4",".",".",".",".","0.2",".","0.2","."
"","Dept. Total","7236","2.830","24.8","11.3","22.1","10.3","18.7","6.1","4.5","0.6","0.0","0.9",".","0.0","0.4","0.1","0.1","0.0"
