"L&S","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"224
CHEM","","Grades","GPA","","","","","","","","","","","","","","","",""
"","994
009","5","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","994
011","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","994
030","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","994
045","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","994
056","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","994
058","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","994
066","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research-Inorganic","Course Total","29","",".",".",".",".",".",".",".","79.3",".",".",".","20.7",".",".",".","."
"","995
004","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","995
042","3","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Rsch-Macromolecular Chem","Course Total","5","",".",".",".",".",".",".",".","40.0",".",".",".","60.0",".",".",".","."
"","996
001","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","996
002","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","996
011","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","996
039","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","996
041","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","996
065","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research-Materials Chemistry","Course Total","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"224
CHEM","Dept. Total","5398","3.061","26.4","15.8","25.4","9.8","12.4","2.9","1.7","3.9",".",".",".","1.2","0.4","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1990","3.080","24.1","18.8","28.8","10.5","14.4","1.7","1.4",".",".",".",".",".","0.1",".","0.1","."
"Sophomore","","1280","2.988","21.8","14.6","28.9","12.4","15.1","4.5","2.3",".",".",".",".",".","0.4",".","0.1","."
"Junior","","864","3.037","25.5","17.8","27.4","9.6","12.7","4.4","2.0",".",".",".",".",".","0.1","0.2","0.1","0.1"
"Senior","","550","2.971","26.2","15.6","25.1","11.1","12.9","4.4","2.9","0.2",".",".",".","0.5","0.9","0.2",".","."
"Undergraduates","","4684","3.038","24.0","17.1","28.2","10.9","14.1","3.3","1.9","0.0",".",".",".","0.1","0.3","0.1","0.1","0.0"
"Special","","45","3.066","26.7","8.9","26.7","15.6","11.1","6.7",".",".",".",".",".",".","4.4",".",".","."
"Graduate","","667","3.658","43.8","7.2","5.5","1.6","0.3",".",".","31.3",".",".",".","9.3","0.7","0.1",".","."
"Prof Yr 2","","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","5398","3.061","26.4","15.8","25.4","9.8","12.4","2.9","1.7","3.9",".",".",".","1.2","0.4","0.1","0.1","0.0"
