"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"416
GEOG","","Grades","GPA","","","","","","","","","","","","","","","",""
"","339
001 305","6","2.500",".","16.7","16.7","16.7","50.0",".",".",".",".",".",".",".",".",".",".","."
"","339
001 304","9","2.778","22.2","11.1","33.3","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"","339
001 302","5","2.600",".","20.0","20.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"","339
001 306","3","3.000","33.3",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","64","2.698","10.9","15.6","20.3","18.8","18.8","10.9","3.1",".",".",".",".",".",".","1.6",".","."
"","339
002 303","4","2.000",".","25.0",".","25.0","25.0",".","25.0",".",".",".",".",".",".",".",".","."
"","339
002 302","3","2.333",".",".","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".","."
"","339
002 305","3","2.667",".",".","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","339
002 306","4","2.750","25.0",".",".","50.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","339
002 307","5","2.600",".","20.0","20.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"","339
002 308","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","339
002 309","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","339
002 310","4","2.500",".","25.0",".","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".","."
"","339
002 311","5","3.000","40.0",".","20.0",".","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"","339
002 312","7","3.000","42.9",".","14.3",".","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"","339
002 301","1","2.000",".",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".","."
"","339
002 304","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","41","2.756","22.0","9.8","14.6","14.6","24.4","12.2","2.4",".",".",".",".",".",".",".",".","."
"Environmental Conservation","Course Total","105","2.721","15.2","13.3","18.1","17.1","21.0","11.4","2.9",".",".",".",".",".",".","1.0",".","."
"","360
001 301","17","2.882","17.6","29.4","23.5","17.6",".",".","11.8",".",".",".",".",".",".",".",".","."
"","360
001 302","19","2.632","26.3","15.8","15.8","5.3","15.8","5.3","15.8",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","Course Total","36","2.750","22.2","22.2","19.4","11.1","8.3","2.8","13.9",".",".",".",".",".",".",".",".","."
"","370
001 302","19","3.237","26.3","21.1","26.3","26.3",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001 301","20","3.237","35.0","25.0","10.0","20.0",".",".","5.0",".",".",".",".",".","5.0",".",".","."
"Introduction to Cartography","Course Total","39","3.237","30.8","23.1","17.9","23.1",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"","377
001 301","13","3.115","23.1","23.1","15.4","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","377
001 302","19","3.105","26.3","21.1","31.6","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","377
001 304","14","3.654","42.9","35.7","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","377
001 303","14","3.393","35.7","21.4","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","Course Total","60","3.297","31.7","25.0","25.0","10.0","3.3","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"Rsch the City: Qual Strategies","503
001","17","3.813","70.6","17.6",".","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Urban Spatial Patterns&Thry","505
001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Landform Geography","524
001","16","3.433","37.5","18.8","31.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Envr Geog&Cnsrv-Devlp Cntry","535
001","11","3.550","54.5","9.1","18.2",".","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Prob-Geog of Latin America","548
001","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560
001","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579
001 301","22","3.523","45.5","31.8","13.6",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","602
009","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","602
024","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","602
042","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","602
045","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","602
046","1","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
048","4","",".",".",".",".",".",".",".",".",".","50.0",".",".",".",".",".","25.0"
"Internship","Course Total","9","",".",".",".",".",".",".",".",".",".","66.7",".",".",".",".",".","11.1"
"","681
002","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
042","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
