"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"758
BMOLCHEM","","Grades","GPA","","","","","","","","","","","","","","","",""
"","314
001 301","15","3.357","20.0","26.7","46.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","314
001 308","14","3.393","28.6","42.9","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","314
001 302","13","3.308","30.8","23.1","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001 307","14","3.036","14.3","42.9","21.4","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"","314
001 309","11","3.000","18.2",".","63.6",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","314
001 303","12","2.958","16.7","16.7","33.3","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","314
001 305","12","3.167","33.3","16.7","41.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","314
001 304","14","3.071","21.4","21.4","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","314
001 306","11","3.091","18.2","18.2","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Human Biochemistry","Course Total","116","3.161","22.4","24.1","32.8","9.5","7.8","0.9","1.7","0.9",".",".",".",".",".",".",".","."
"","699
004","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
017","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
021","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
025","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
030","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Research Problems","Course Total","8","3.929","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001 303","39","3.500","41.0","15.4","41.0",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","704
001 304","38","3.632","55.3","18.4","23.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001 301","40","3.425","32.5","20.0","47.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001 302","43","3.293","34.9","11.6","37.2","7.0","2.3",".","2.3",".",".",".",".",".","4.7",".",".","."
"Comprehensive Human Biochem","Course Total","160","3.459","40.6","16.3","37.5","2.5","0.6",".","0.6","0.6",".",".",".",".","1.3",".",".","."
"Cellular Functn-Macromolecules","711
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomolecular Chem Seminar","901
001","54","",".",".",".",".",".",".",".","98.1",".",".",".","1.9",".",".",".","."
"Smr-Molecular Biosci (Adv)","914
001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
003","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
004","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
005","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
007","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
009","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
014","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
017","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
018","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
019","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
021","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
022","4","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
023","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
024","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
025","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
026","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
027","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
028","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
030","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adv Biomoleclr Chem & Rsrch","Course Total","57","",".",".",".",".",".",".",".","82.5",".",".",".","17.5",".",".",".","."
