"LANGUAGES AND CULTURES OF Section","","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","N","NR","Other"
"910
LANGASIA","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Elem Hindi-Urdu Intensive","101","001","","2","3.500",".","50.0",".",".",".","",".",".",".","",".",".","",".","",".",".","50.0",".","."
"First Semester Indonesian","105","001","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"First Sem Pilipino/Tagalog","107","001","","9","3.667","44.4","44.4","11.1",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"First Semester Thai","115","001","","13","3.769","53.8","46.2",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"First Semester Vietnamese","127","001","","6","3.833","66.7","33.3",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Asia-Age of Imperlsm,Nationlsm","140","001","","9","2.596","11.1","11.1",".","22.2","44.4","",".",".",".","",".",".","",".","",".","11.1",".",".","."
"","205","001 301","","2","2.000",".",".",".",".","50.0","",".",".",".","",".",".","",".","",".","50.0",".",".","."
"","205","001 302","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","","Course Total","","3","2.857","33.3",".",".",".","33.3","",".",".",".","",".",".","",".","",".","33.3",".",".","."
"3rd Semstr Pilipino/Tagalog","207","001","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Third Semester Vietnamese","227","001","","5","3.800","60.0","40.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Bascom Course","236","001","","18","3.933","72.2","11.1",".",".",".","",".",".",".","",".",".","",".","",".","11.1","5.6",".","."
"","244","001 305","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","244","001 303","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","244","001 304","","1","2.500",".",".",".","100.0",".","",".",".",".","",".",".","",".","",".",".",".",".","."
