"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","N","NR","Other"
"740
PE ACTIV","Grades","GPA","","","","","","","","","","","","","","","","","",""
"262
001","23","3.833","56.5","17.4","4.3",".",".",".",".","21.7",".",".","",".","",".",".",".",".","."
"262
002","18","3.786","27.8","5.6","5.6",".",".",".",".","61.1",".",".","",".","",".",".",".",".","."
"Tennis II
Course Total","41","3.820","43.9","12.2","4.9",".",".",".",".","39.0",".",".","",".","",".",".",".",".","."
"Racquetball II
263
001","9","3.071","11.1","55.6",".",".",".",".","11.1","22.2",".",".","",".","",".",".",".",".","."
"275
001","27","3.523","40.7","25.9","11.1",".",".",".","3.7","14.8","3.7",".","",".","",".",".",".",".","."
"275
002","26","3.611","30.8","23.1","15.4",".",".",".",".","30.8",".",".","",".","",".",".",".",".","."
"Volleyball II
Course Total","53","3.563","35.8","24.5","13.2",".",".",".","1.9","22.6","1.9",".","",".","",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art
277
001 301","27","3.167","14.8","18.5","37.0","18.5",".",".",".","11.1",".",".","",".","",".",".",".",".","."
"Bicycling
295
001","8","3.500","37.5","25.0",".",".","12.5",".",".","25.0",".",".","",".","",".",".",".",".","."
"300
001","17","3.900","76.5","5.9","5.9",".",".",".",".","11.8",".",".","",".","",".",".",".",".","."
"300
003","13","3.350","15.4","23.1","38.5",".",".",".",".","23.1",".",".","",".","",".",".",".",".","."
"Workshop-Physical Activity
Course Total","30","3.680","50.0","13.3","20.0",".",".",".",".","16.7",".",".","",".","",".",".",".",".","."
"Swim Endur&Stroke Proficncy
301
001","21","3.933","61.9","9.5",".",".",".",".",".","23.8",".",".","",".","",".","4.8",".",".","."
"Lifegrdng&Swimmng Supervisn
308
001","13","3.625","38.5","38.5","15.4",".",".",".",".","7.7",".",".","",".","",".",".",".",".","."
"Water Safety Instructor
310
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Topics in Martial Arts
318
001","20","4.000","80.0",".",".",".",".",".",".","15.0",".",".","",".","",".",".","5.0",".","."
"Leadershp-Rhythmic Aerobics
333
001","9","3.583","44.4","11.1",".",".","11.1",".",".","33.3",".",".","",".","",".",".",".",".","."
"Tennis III
362
001","16","3.583","12.5","18.8","6.3",".",".",".",".","62.5",".",".","",".","",".",".",".",".","."
"740
PE ACTIV
Dept. Total","1844","3.337","33.9","18.9","13.7","2.8","4.9","1.4","0.6","22.2","0.3",".","",".","",".","0.2","0.8","0.4","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","153","3.081","34.0","19.6","22.2","3.3","14.4","2.0","2.0","2.0",".",".","",".","",".",".","0.7",".","."
"Sophomore","398","3.167","32.4","22.6","18.1","5.8","8.5","3.3","0.8","7.8","0.3",".","",".","",".",".","0.5",".","."
"Junior","364","3.358","39.8","20.3","14.0","2.7","5.2","0.8","0.8","14.6","0.5",".","",".","",".","0.3","0.8",".","."
"Senior","706","3.573","38.1","17.4","10.9","1.4","1.8","0.7","0.1","28.3","0.3",".","",".","",".","0.3","0.6",".","."
"Undergraduates","1621","3.333","36.7","19.6","14.4","3.0","5.4","1.5","0.6","17.7","0.3",".","",".","",".","0.2","0.6",".","."
"Special","94","3.360","10.6","6.4","4.3","2.1",".",".","1.1","63.8","1.1",".","",".","",".",".","3.2","7.4","."
"Graduate","111","3.400","13.5","19.8","11.7","1.8","1.8","0.9",".","49.5",".",".","",".","",".",".","0.9",".","."
"Prof Yr 1","6","3.500","16.7","33.3","16.7",".",".",".",".","33.3",".",".","",".","",".",".",".",".","."
"Prof Yr 2","4","4.000","75.0",".",".",".",".",".",".",".",".",".","",".","",".",".","25.0",".","."
"Prof Yr 3","8","3.500","12.5","12.5","12.5",".",".",".",".","62.5",".",".","",".","",".",".",".",".","."
"Professionals","18","3.650","27.8","16.7","11.1",".",".",".",".","38.9",".",".","",".","",".",".","5.6",".","."
"Dept. Total","1844","3.337","33.9","18.9","13.7","2.8","4.9","1.4","0.6","22.2","0.3",".","",".","",".","0.2","0.8","0.4","."
