"ENVIR ST - GAYLORD NELSON IN Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"360
ENVIR ST","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"699
072","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"699
073","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Directed Study
Course Total","","8","4.000","","87.5",".","",".",".","",".","",".","",".",".",".",".",".",".","12.5","",".",".","."
"Fld Investigtn-Wetland Ecol
710
001","","5","4.000","","80.0",".","",".",".","",".","",".","",".",".",".",".",".",".","20.0","",".",".","."
"Img Proc Algrth-Remote Sens
758
001 301","","5","3.875","","60.0","20.0","",".",".","",".","",".","",".","20.0",".",".",".",".","",".",".",".","."
"Envr Monitoring Practicum I
765
001 301","","6","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Energy Analys & Policy Smr
809
001","","6","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Land Use Policy & Planning
843
001","","7","3.643","","28.6","71.4","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Sci & Envir Communication
860
001","","4","3.667","","25.0","50.0","",".",".","",".","",".","",".","25.0",".",".",".",".","",".",".",".","."
"Global Environmentl Governance
866
001","","8","3.786","","62.5","12.5","","12.5",".","",".","",".","",".",".",".",".",".",".","12.5","",".",".","."
"900
001 301","","4","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"900
002","","5","3.500","",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"900
004","","8","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar
Course Total","","17","3.904","","70.6","29.4","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"901
001 301","","14","","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"901
001","","11","","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Envr St Orient Fld Trip&Smr
Course Total","","25","","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Envr Monitoring Seminar
950
001","","25","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Colloq-Trnsportatn Mgmt&Policy
970
001","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Consrv Biol&Sustain Dev Smr
975
001","","10","","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"990
002","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
003","","5","","",".",".","",".",".","",".","",".","",".","20.0",".",".",".","80.0","",".",".",".","."
"990
005","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
007","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
008","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
009","","6","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
013","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
014","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
015","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
016","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
017","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
018","","1","","",".",".","",".",".","",".","",".","",".",".","100.0",".",".",".","",".",".",".","."
"990
019","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
020","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
021","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
022","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
026","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
029","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
030","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
031","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
033","","5","","",".",".","",".",".","",".","",".","",".","20.0",".",".",".","80.0","",".",".",".","."
"990
036","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
040","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
041","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
042","","1","","",".",".","",".",".","",".","",".","",".",".","100.0",".",".",".","",".",".",".","."
"990
043","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
044","","5","","",".",".","",".",".","",".","",".","",".","20.0",".",".",".","80.0","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","","Page 155 of 441",""
