"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"296
ECON","","Grades","GPA","","","","","","","","","","","","","","","",""
"","310
002 306","18","2.694","5.6","16.7","22.2","22.2","27.8","5.6",".",".",".",".",".",".",".",".",".","."
"","Section Total","56","2.804","8.9","19.6","21.4","23.2","21.4","5.4",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","112","2.734","9.8","15.2","25.0","22.3","15.2","6.3","3.6","0.9",".",".",".",".","1.8",".",".","."
"Public Utilities","325
001","27","3.204","14.8","25.9","48.1","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","330
001 303","24","2.979","4.2","45.8","4.2","33.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","330
001 308","23","2.870","17.4","13.0","8.7","47.8","13.0",".",".",".",".",".",".",".",".",".",".","."
"","330
001 306","22","2.636","9.1",".","36.4","18.2","31.8","4.5",".",".",".",".",".",".",".",".",".","."
"","330
001 305","20","2.925","25.0","10.0","10.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","330
001 304","24","3.167","29.2","16.7","25.0","16.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"","330
001 301","19","2.553",".","15.8","26.3","10.5","47.4",".",".",".",".",".",".",".",".",".",".","."
"","330
001 302","21","3.190","23.8","28.6","19.0","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","330
001 307","22","3.000","22.7","13.6","22.7","13.6","22.7",".",".","4.5",".",".",".",".",".",".",".","."
"Money and Banking","Course Total","175","2.922","16.6","18.3","18.9","24.6","20.0","1.1",".","0.6",".",".",".",".",".",".",".","."
"","343
001 305","10","2.721","10.0",".","40.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","343
001 301","9","3.210","22.2","33.3","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","343
001 303","12","2.963","25.0","8.3","25.0","16.7","25.0",".",".",".",".",".",".",".",".",".",".","."
"","343
001 302","14","3.210","35.7","14.3","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","Course Total","45","3.039","24.4","13.3","24.4","20.0","17.8",".",".",".",".",".",".",".",".",".",".","."
"Role of Govt-The Economy","352
001","67","3.206","16.4","25.4","34.3","16.4","1.5",".",".","4.5",".",".",".",".","1.5",".",".","."
"","364
001 302","20","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","364
001 303","21","2.952","14.3","14.3","42.9","4.8","23.8",".",".",".",".",".",".",".",".",".",".","."
"","364
001 305","19","3.053","26.3","10.5","26.3","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","364
001 306","19","2.722",".","10.5","47.4","10.5","21.1","5.3",".","5.3",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","Course Total","79","3.064","22.8","11.4","36.7","11.4","13.9","2.5",".","1.3",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
014","21","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001 302","21","3.571","52.4","19.0","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","410
001 301","21","3.262","33.3","23.8","23.8",".","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","Course Total","42","3.417","42.9","21.4","23.8",".","7.1","4.8",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","5","2.500",".",".","20.0","40.0","20.0",".",".",".",".",".",".",".",".","20.0",".","."
"Race,Gendr,Ethn-Labor Markt","460
001","16","3.654","37.5","31.3","12.5",".",".",".",".","12.5",".",".",".",".","6.3",".",".","."
"","464
001 305","22","2.619","22.7","13.6","13.6","13.6","4.5","13.6","13.6",".",".",".",".",".",".",".","4.5","."
"","464
001 303","22","2.841","9.1","45.5","13.6","4.5","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"","464
001 302","22","2.455","9.1","18.2","22.7","9.1","22.7","4.5","13.6",".",".",".",".",".",".",".",".","."
"","464
001 301","22","3.023","22.7","22.7","18.2","27.3","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","Course Total","88","2.736","15.9","25.0","17.0","13.6","10.2","6.8","10.2",".",".",".",".",".",".",".","1.1","."
"American Economy to 1865","465
001","19","3.201","15.8","47.4","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","475
001 302","23","2.739","8.7","13.0","21.7","30.4","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"","475
001 303","23","3.024","21.7","13.0","26.1","8.7","21.7",".",".",".",".",".",".",".","8.7",".",".","."
"","475
001 301","23","2.976","17.4","8.7","39.1","4.3","17.4","4.3",".",".",".",".",".",".","8.7",".",".","."
"Economics of Growth","Course Total","69","2.908","15.9","11.6","29.0","14.5","20.3","2.9",".",".",".",".",".",".","5.8",".",".","."
"Economics of Transportation","502
001","17","2.441","11.8","5.9","35.3","23.5","5.9",".","17.6",".",".",".",".",".",".",".",".","."
"Law and Economics","522
001","40","3.113","12.5","40.0","25.0","12.5","7.5",".","2.5",".",".",".",".",".",".",".",".","."
"Public Sector Bargaining","539
001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548
001","29","3.345","13.8","51.7","24.1","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663
001","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
002","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 213 of 441",""
