"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"224
CHEM","","Grades","GPA","","","","","","","","","","","","","","","",""
"","109
003 541 8","12","3.375","41.7","8.3","41.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","109
003 542 8","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","109
003 543 8","14","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","109
003 544 8","11","3.318","27.3","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","109
003 547 8","13","3.231","15.4","30.8","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","109
003 548 8","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","65","3.392","36.9","20.0","32.3","6.2","3.1","1.5",".",".",".",".",".",".",".",".",".","."
"","109
004 566 8","20","2.925","15.0","30.0","25.0","5.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","109
004 565 8","16","3.156","18.8","31.3","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","109
004 564 8","18","2.917","16.7","22.2","16.7","16.7","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","109
004 563 8","20","3.150","25.0","30.0","15.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","109
004 562 8","20","3.050","15.0","35.0","30.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","109
004 561 8","16","3.438","37.5","25.0","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","110","3.095","20.9","29.1","22.7","10.0","13.6","1.8","1.8",".",".",".",".",".",".",".",".","."
"Advanced General Chemistry","Course Total","796","3.111","22.4","23.0","28.1","10.6","14.2","1.0","0.8",".",".",".",".",".",".",".",".","."
"","115
001 521 8","22","3.636","40.9","45.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
001 522 8","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chemical Principles I","Course Total","40","3.663","45.0","42.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","299
052","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
053","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
054","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
