"ELECTRICAL AND COMPUTER E Section","#","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"320
E C E","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"790
051","5","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"790
054","15","","",".",".","",".",".","",".","",".","",".","13.3",".",".",".","86.7",".",".",".","."
"790
056","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"790
058","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"790
060","6","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"790
061","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"790
062","5","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"790
066","4","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"790
070","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"790
071","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Master's Research or Thesis
Course Total","115","","",".",".","",".",".","",".","",".","",".","46.1",".",".",".","53.9",".",".",".","."
"890
004","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
005","4","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
007","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
009","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
011","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
013","3","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
015","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
018","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
019","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
021","3","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
025","3","","",".",".","",".",".","",".","",".","",".",".",".",".",".","66.7","33.3",".",".","."
"890
027","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
029","3","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
030","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
040","3","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
041","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
042","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
045","4","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
049","3","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
051","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
054","4","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
056","6","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
057","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
058","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
060","4","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
061","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
066","3","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
070","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Pre-Dissertator's Research
Course Total","69","","",".",".","",".",".","",".","",".","",".","49.3",".",".",".","49.3","1.4",".",".","."
"Spec Topics-Communications
901
001","8","3.938","","87.5","12.5","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar in Plasma Physics
922
001","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
004","3","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
010","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
011","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
016","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
021","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
025","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
027","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","Page 119 of 441",""
