"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"660
MUSIC","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","361
004","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","7","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","40
001","48","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","40
002","57","3.974","96.5","1.8","1.8",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","Course Total","105","3.986","98.1","1.0","1.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Musical Cultures-World","401
001","16","3.214","31.3","6.3","31.3","6.3","12.5","",".",".","12.5",".",".",".",".",".",".",".","."
"","41
001","119","3.996","97.5","0.8",".",".",".","",".",".",".",".",".",".",".",".",".","1.7","."
"","41
002","125","3.976","98.4",".",".","1.6",".","",".",".",".",".",".",".",".",".",".",".","."
"","41
003","109","3.991","98.2","1.8",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Bands","Course Total","353","3.987","98.0","0.8",".","0.6",".","",".",".",".",".",".",".",".",".",".","0.6","."
"Survey Music-Baroque Era","413
001","20","3.361","35.0","30.0","15.0","5.0",".","",".","5.0","10.0",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","27","3.481","55.6","14.8","7.4","3.7","14.8","",".",".","3.7",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","23","3.700","52.2","17.4","17.4",".",".","",".",".","8.7",".",".",".",".",".",".",".","4.3"
"Varsity Band","42
001","278","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","5","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","497
002","7","3.429","85.7",".",".",".",".","",".","14.3",".",".",".",".",".",".",".",".","."
"","497
003","20","3.825","80.0","10.0","5.0","5.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","497
004","15","3.633","53.3","26.7","13.3","6.7",".","",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","42","3.714","71.4","14.3","7.1","4.8",".","",".","2.4",".",".",".",".",".",".",".",".","."
"","499
002","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","499
027","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","499
028","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","499
038","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","499
050","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","499
052","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","499
053","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","7","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Orchestration","523
001","11","3.636","72.7","9.1",".","9.1","9.1","",".",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","530
001","5","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","54
001","64","3.968","95.3",".","3.1",".",".","",".",".","1.6",".",".",".",".",".",".",".","."
"","54
002","36","3.875","88.9","2.8","5.6",".","2.8","",".",".",".",".",".",".",".",".",".",".","."
"","54
003","46","3.905","89.1",".",".",".",".","",".","2.2",".",".",".",".",".","8.7",".",".","."
"","54
004","33","4.000","97.0",".",".",".",".","",".",".",".",".",".",".",".","3.0",".",".","."
"","54
005","11","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","54
006","32","3.922","90.6","6.3",".","3.1",".","",".",".",".",".",".",".",".",".",".",".","."
"Choirs","Course Total","222","3.940","92.8","1.4","1.8","0.5","0.5","",".","0.5","0.5",".",".",".",".","2.3",".",".","."
"","544
009","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","544
023","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"Advanced String Pedagogy","Course Total","2","4.000","50.0",".",".",".",".","",".",".",".",".",".",".",".","50.0",".",".","."
"","545
001","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","545
002","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Practcm-Adv String Pedagogy","Course Total","4","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"String Literature","546
023","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"Class Piano Pedagogy","551
001","4","4.000","75.0",".",".",".",".","",".",".","25.0",".",".",".",".",".",".",".","."
"Advanced Conducting","554
001","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 292 of 441",""
