"EDUCATIONAL ADMINISTRATIO Section","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"305
ED ADMIN","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","502
001","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","502
002","","10","4.000","60.0",".","",".",".","",".","",".","",".",".",".",".",".",".","40.0",".",".","."
"","502
003","","9","4.000","88.9",".","",".",".","",".","",".","",".",".",".",".",".",".","11.1",".",".","."
"Workshop in Ed Admin","Course Total","","21","4.000","76.2",".","",".",".","",".","",".","",".",".",".",".",".",".","23.8",".",".","."
"","700
020","","4","4.000","75.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".","25.0",".","."
"","700
024","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","700
032","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","700
042","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","700
043","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","700
045","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","Course Total","","12","4.000","91.7",".","",".",".","",".","",".","",".",".",".",".",".",".",".","8.3",".","."
"Intro-Higher & Post-Sec Ed","701
001","","23","3.543","39.1","39.1","","13.0","8.7","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702
001","","23","3.978","95.7","4.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Leadership Dynamics","705
001","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715
001","","23","3.762","47.8","43.5","",".",".","",".","",".","",".",".",".",".",".",".","8.7",".",".","."
"","725
001","","13","3.958","84.6","7.7","",".",".","",".","",".","",".",".",".",".",".",".",".","7.7",".","."
"","725
002","","15","3.933","86.7","13.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","Course Total","","28","3.944","85.7","10.7","",".",".","",".","",".","",".",".",".",".",".",".",".","3.6",".","."
"Program Develop-Cont Educ","730
001","","2","4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735
001","","11","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","770
001","","9","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","770
002","","17","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","Course Total","","26","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Staff Personnel Sys in Ed","785
001","","20","3.925","85.0","15.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Leadershp & Coord-Cont&Tech Ed","811
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Technol in Cont & Higher Educ","814
001","","4","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","","25","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840
001","","22","3.763","59.1","18.2","","4.5","4.5","",".","",".","",".",".",".",".",".",".","13.6",".",".","."
"Legal Aspects of Higher Ed","841
001","","8","3.625","37.5","50.0","","12.5",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Instr Leadershp&Schl Improv","847
001","","26","3.900","84.6","3.8","","7.7",".","",".","",".","",".",".",".",".",".",".","3.8",".",".","."
"Org Theory&Behavior in Educ","860
001","","19","3.974","94.7","5.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870
001","","20","3.850","80.0","10.0","","10.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","875
001","","6","4.000","83.3",".","",".",".","",".","",".","",".",".",".",".",".",".","16.7",".",".","."
"","875
002","","11","4.000","90.9",".","",".",".","",".","",".","",".",".",".",".",".",".",".","9.1",".","."
"Theory&Practice-Ed Planning","Course Total","","17","4.000","88.2",".","",".",".","",".","",".","",".",".",".",".",".",".","5.9","5.9",".","."
"Acadmc Prgrms-Col&Universty","880
001","","14","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890
032","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","900
012","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","900
014","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","900
032","","4","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Internship in Ed Admin","Course Total","","6","4.000","83.3",".","",".",".","",".","",".","",".",".",".",".",".",".","16.7",".",".","."
"","940
002","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","940
005","","4","3.750","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr in Educational Admin","Course Total","","7","3.857","71.4","28.6","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr in Educ Finance","960
001","","6","4.000","83.3",".","",".",".","",".","",".","",".","16.7",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 89 of 441",""
