"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","N","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"335","001 302 6","","6","2.917",".","16.7","66.7",".","16.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","2","2.000",".",".",".",".","50.0","50.0",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","6","3.000","33.3",".","33.3",".","33.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","16","3.219","37.5","6.3","37.5",".","12.5","6.3",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","8","2.750","37.5",".","25.0",".","12.5","12.5","12.5","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","2","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","2","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","2","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","1","0.000",".",".",".",".",".",".","100.0","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","4","1.500","25.0",".",".",".",".","25.0","50.0","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","10","3.050","30.0","10.0","30.0",".","20.0","10.0",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","2","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","3","2.167",".",".",".","33.3","66.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","2","2.500",".",".",".","100.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","2","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","6","1.667",".",".",".",".","33.3","50.0","16.7","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","7","2.857","14.3",".","57.1",".","28.6",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","4","2.750",".",".","75.0",".","25.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","2","2.500",".",".","50.0",".","50.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 302 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 305 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 301 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 309 6","","4","2.750","25.0",".","25.0",".","50.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","4","2.750","25.0",".","25.0",".","50.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","4","2.750",".",".","75.0",".","25.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 303 6","","2","1.000",".",".",".",".",".","50.0","50.0","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","2","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","2","3.000","50.0",".",".",".","50.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 309 6","","3","3.000","33.3",".",".",".",".","33.3",".","",".","",".",".","",".","",".","",".",".","33.3","."
"335","001 309 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 309 6","","4","3.375","50.0","25.0",".",".","25.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 306 6","","1","2.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 308 6","","15","3.100","26.7","6.7","46.7",".",".","20.0",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 307 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 306 6","","5","3.000","40.0",".","20.0",".","40.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 307 6","","2","2.500",".",".","50.0",".","50.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 307 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 307 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"335","001 307 6","","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
