"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"620
M M & I","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Pathogenic Microorganisms","301
001","","54","3.324","38.9","13.0","31.5","7.4","5.6","","3.7","",".",".",".",".",".",".",".",".",".","."
"","302
001 400","","27","3.593","37.0","44.4","18.5",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","302
002 400","","19","3.474","31.6","36.8","26.3","5.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"Medical Microbiology Lab","Course Total","","46","3.543","34.8","41.3","21.7","2.2",".","",".","",".",".",".",".",".",".",".",".",".","."
"","341
001 301","","23","3.227","39.1","8.7","17.4","17.4","13.0","",".","",".",".",".",".",".",".","4.3",".",".","."
"","341
001 302","","19","3.500","52.6","10.5","26.3","5.3","5.3","",".","",".",".",".",".",".",".",".",".",".","."
"","341
001 303","","22","3.614","50.0","27.3","18.2","4.5",".","",".","",".",".",".",".",".",".",".",".",".","."
"","341
001 304","","19","3.583","57.9","10.5","15.8","5.3","5.3","",".","",".",".",".",".",".",".","5.3",".",".","."
"Immunology","Course Total","","83","3.475","49.4","14.5","19.3","8.4","6.0","",".","",".",".",".",".",".",".","2.4",".",".","."
"Infect Disease-Human Beings","504
001","","44","3.405","34.1","9.1","52.3",".",".","",".","",".",".",".",".",".",".","4.5",".",".","."
"Immunology","528
001","","80","2.962","21.3","3.8","46.3","1.3","21.3","","5.0","",".",".","1.3",".",".",".",".",".",".","."
"Immunology Laboratory","529
001 301","","31","3.919","90.3","3.2","6.5",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Infect Diseases & Bioterrorism","554
001","","48","3.457","33.3","29.2","27.1","4.2","2.1","",".","",".",".",".",".",".",".","2.1","2.1",".","."
"","677
011","","6","3.667","66.7",".","33.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","677
012","","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","14","3.769","85.7",".","14.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","681
001","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
003","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","4.000","50.0",".",".",".",".","",".","",".",".",".",".",".","50.0",".",".",".","."
"Senior Seminar","696
001","","19","3.605","21.1","78.9",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
003","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
008","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
010","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
011","","7","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
021","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
030","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
035","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
037","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","19","3.977","94.7","5.3",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Infection and Immunity I","701
001","","145","3.373","27.6","25.5","37.9","6.2","0.7","",".","",".",".",".",".",".",".","1.4",".","0.7","."
"Mech Microbial Pathogenesis","740
001","","19","3.579","42.1","36.8","15.8","5.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"Journal Club","900
001","","10","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar","901
001","","26","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Molecular Biosci (Adv)","914
001","","6","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
004","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
007","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
008","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
011","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","4","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
018","","11","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
021","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
022","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
024","","4","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
035","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","30","",".",".",".",".",".","",".","",".","96.7",".",".",".","3.3",".",".",".","."
