"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"778
POLI SCI","","Grades","GPA","","","","","","","","","","","","","","","",""
"","104
002 332","12","2.773","8.3","16.7","16.7","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".","8.3"
"","104
002 325","20","1.950",".",".","20.0","10.0","40.0","15.0","15.0",".",".",".",".",".",".",".",".","."
"","104
002 322","22","2.682","4.5","9.1","36.4","18.2","18.2","13.6",".",".",".",".",".",".",".",".",".","."
"","104
002 324","20","2.800","10.0","10.0","50.0","10.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"","104
002 334","20","2.895","5.0","20.0","40.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","5.0"
"","104
002 321","22","2.595","9.1","13.6","22.7","27.3","4.5","9.1","9.1",".",".",".",".",".",".",".",".","4.5"
"","104
002 326","19","2.816","15.8","5.3","36.8","10.5","21.1","10.5",".",".",".",".",".",".",".",".",".","."
"","104
002 328","24","2.563","8.3","4.2","29.2","25.0","20.8","8.3","4.2",".",".",".",".",".",".",".",".","."
"","104
002 329","23","2.674","8.7","8.7","21.7","30.4","30.4",".",".",".",".",".",".",".",".",".",".","."
"","104
002 327","22","2.714","13.6","13.6","18.2","22.7","22.7",".","4.5","4.5",".",".",".",".",".",".",".","."
"","Section Total","428","2.762","11.2","13.1","26.9","19.4","19.4","5.6","2.1","0.5",".",".",".",".","0.5",".",".","1.4"
"Intro-Amer Politcs&Governmt","Course Total","793","2.775","11.0","15.0","25.9","18.5","19.4","5.7","2.0","0.3",".",".",".",".","0.5","0.1",".","1.6"
"","106
001 308","19","3.237","15.8","36.8","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001 310","18","3.250","16.7","38.9","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001 315","20","3.184","10.0","45.0","15.0","20.0","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"","106
001 306","19","3.184","21.1","26.3","36.8",".","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"","106
001 302","21","3.095","19.0","28.6","19.0","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"","106
001 316","21","3.200","4.8","38.1","42.9","9.5",".",".",".",".",".",".",".",".","4.8",".",".","."
"","106
001 311","18","3.361","16.7","44.4","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001 317","21","3.119","14.3","33.3","23.8","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"","106
001 318","20","3.050","5.0","20.0","55.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001 312","22","3.159","4.5","45.5","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","106
001 303","18","2.972","16.7","16.7","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","106
001 309","21","3.286","19.0","28.6","47.6",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","106
001 305","18","2.833","5.6","16.7","50.0","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","106
001 319","21","2.881","14.3","19.0","23.8","33.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","106
001 307","23","3.239","21.7","34.8","21.7","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","106
001 320","21","3.119",".","52.4","23.8","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"","106
001 314","19","3.132","15.8","36.8","15.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","106
001 304","23","3.261","17.4","30.4","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001 313","24","3.000","12.5","12.5","37.5","29.2","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"","106
001 321","24","3.375","25.0","37.5","29.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","Course Total","411","3.150","13.9","32.1","31.4","15.6","4.6","1.2","0.5",".",".",".",".",".","0.5","0.2",".","."
"Intro to American Politics","184
001","19","3.316","26.3","26.3","36.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201
001","15","3.100","26.7","13.3","13.3",".","6.7",".","6.7","6.7",".",".",".",".",".",".",".","26.7"
"","205
001 302","22","3.250","27.3","27.3","22.7","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","205
001 305","26","3.346","26.9","23.1","46.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","205
001 303","21","3.262","28.6","28.6","33.3","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","205
001 304","26","2.980","19.2","19.2","23.1","23.1","3.8","3.8","3.8",".",".",".",".",".","3.8",".",".","."
"","205
001 301","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to State Government","Course Total","110","3.307","33.6","22.7","27.3","9.1","3.6","0.9","1.8",".",".",".",".",".","0.9",".",".","."
"","209
001 308","22","3.091","18.2","31.8","22.7","22.7",".",".","4.5",".",".",".",".",".",".",".",".","."
"","209
001 304","22","3.190","4.5","40.9","36.4","13.6",".",".",".",".",".",".",".",".","4.5",".",".","."
"","209
001 309","20","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","209
001 305","23","3.091","17.4","26.1","21.7","17.4","13.0",".",".","4.3",".",".",".",".",".",".",".","."
"","209
001 306","21","3.262","23.8","28.6","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","209
001 302","25","3.380","24.0","32.0","40.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","209
001 307","20","3.200","10.0","30.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
